Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,13.577262813739008,13.577262813739008,13.097833818630892,0.0,0.0,0.0,0.04786327592980224,0.010622716851767305,0.0,0.0,0.4209430023265441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04632750664867337,0.04632750664867337
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,12.653241056996976,12.653241056996976,12.225791035079554,0.0,0.0,0.0,0.028717965557881423,0.0063736301110604,0.0,0.0,0.3923584262484783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04317461606489033,0.04317461606489033
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,12.749296598958859,12.749296598958859,12.339141041330114,0.0,0.0,0.0,0.019145310371920937,0.004249086740706931,0.0,0.0,0.3867611605161171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04350237091650726,0.04350237091650726
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,12.626086506984064,12.626086506984064,12.226192156027281,0.0,0.0,0.0,0.019145310371920937,0.004249086740706931,0.0,0.0,0.37649995384415474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0430819609683865,0.0430819609683865
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,12.596801231659006,12.596801231659006,12.218378805075922,0.0,0.0,0.0,0.021285276787033902,0.004724028266510062,0.0,0.0,0.35241312152953946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429820355411526,0.0429820355411526
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,12.831617206614087,12.831617206614087,12.374355557507288,0.0,0.0,0.0,0.058404302419901494,0.012962179363600548,0.0,0.0,0.3858951673232958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04378326026444058,0.04378326026444058
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,12.887948819174243,12.887948819174243,12.247184545366448,0.0,0.0,0.0,0.13711717975334117,0.030431618975869004,0.0,0.0,0.4732154750785827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04397547155114929,0.04397547155114929
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,14.507071456370337,14.507071456370337,12.479851240391646,0.0,0.0,0.0,0.1735182562472619,0.03851042932018302,0.0,0.0,0.5375484724881646,0.0,0.0,0.0,0.0,0.0,0.0,1.277643057923083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04950014289092892,0.04950014289092892
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,13.43862106625901,13.43862106625901,12.641751031170667,0.0,0.0,0.0,0.18440117197038075,0.04092577030975275,0.0,0.0,0.4255430850020024,0.0,0.0,0.0,0.0,0.0,0.0,0.14600000780620806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04585444174845918,0.04585444174845918
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,12.967944215241474,12.967944215241474,12.408560826548687,0.0,0.0,0.0,0.1895515096370875,0.04206882994496574,0.0,0.0,0.3277630491107328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044248426954164526,0.044248426954164526
