Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,5.126137041980935,5.126137041980935,4.71585789645583,0.0,0.0,0.0,0.03462761493288753,0.007081811234511536,0.0,0.0,0.36856971935770666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017550955650783722,0.017550955650783722
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,5.045981282042003,5.045981282042003,4.677703917579519,0.0,0.0,0.0,0.02077656895973258,0.004249086740706933,0.0,0.0,0.343251708762044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017277453063963152,0.017277453063963152
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,5.432380226037246,5.432380226037246,5.074262408310549,0.0,0.0,0.0,0.01385104597315504,0.00283272449380462,0.0,0.0,0.34143404725973747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018570243922039403,0.018570243922039403
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,5.376176600499002,5.376176600499002,5.027231134283466,0.0,0.0,0.0,0.01385104597315504,0.00283272449380462,0.0,0.0,0.3322616957485763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018378469344827286,0.018378469344827286
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,5.338948135725428,5.338948135725428,5.012737712696132,0.0,0.0,0.0,0.0153992461653133,0.003149352177673375,0.0,0.0,0.3076618246863097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018277096662827987,0.018277096662827987
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,5.764132961049366,5.764132961049366,5.084247200812975,0.0,0.0,0.0,0.04225372491398994,0.008641452909067033,0.0,0.0,0.3328378326909233,0.0,0.0,0.0,0.0,0.0,0.0,0.2961527497224112,0.0,0.0009409445906276482,0.0,0.0,0.0009409445906276482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019762094361083747,0.019762094361083747
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,5.476268172323427,5.476268172323427,4.856470619939534,0.0,0.0,0.0,0.09920008208685599,0.02028774598391267,0.0,0.0,0.3948980012470145,0.0,0.0,0.0,0.0,0.0,0.0,0.1054117230661089,0.0,0.00213851043324466,0.0,0.0,0.00213851043324466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899587767737223,0.018899587767737223
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,5.543456708675732,5.543456708675732,4.958790121807655,0.0,0.0,0.0,0.12553514661153947,0.025673619546788675,0.0,0.0,0.4334578207097496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003592697527851022,0.0,0.0,0.003592697527851022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019274228448646773,0.019274228448646773
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,5.448472959702082,5.448472959702082,4.957212431834917,0.0,0.0,0.0,0.13340860298673463,0.0272838468731685,0.0,0.0,0.33056807800726207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393485919717017,0.0,0.0,0.00393485919717017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01898433871820687,0.01898433871820687
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,5.062655113958948,5.062655113958948,4.655228799972338,0.0,0.0,0.0,0.137134714625199,0.02804588662997715,0.0,0.0,0.2422457127314347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00410594003182974,0.0,0.0,0.00410594003182974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01768497864442698,0.01768497864442698
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,6.432781634731162,6.432781634731162,5.543585816138152,0.0,0.0,0.0,0.13340611617282086,0.02728333828640194,0.0,0.0,0.272785545279024,0.0,0.0,0.0,0.0,0.0,0.0,0.45572081885476434,0.0,0.003592697527851022,0.0,0.0,0.003592697527851022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022308728626618795,0.022308728626618795
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,6.248960431695414,6.248960431695414,4.6376319441785325,0.0,0.0,0.0,0.12824024411551088,0.026226848232368163,0.0,0.0,0.26277117034416464,0.0,0.0,0.0,0.0,0.0,0.0,1.1940902248248375,0.0,0.004277020866489307,0.0,0.0,0.004277020866489307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021749921177718557,0.021749921177718557
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,5.976713974961211,5.976713974961211,4.76772159584824,0.0,0.0,0.0,0.12451164566313278,0.025464299888792955,0.0,0.0,0.25357248284278416,0.0,0.0,0.0,0.0,0.0,0.0,0.8054439507182602,0.0,0.004875803787797815,0.0,0.0,0.004875803787797815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020880842476972958,0.020880842476972958
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,4.907637401699052,4.907637401699052,4.475752419239519,0.0,0.0,0.0,0.12341445088224565,0.02523990885461999,0.0,0.0,0.28323062272266813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393485919717017,0.0,0.0,0.00393485919717017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017138932670393587,0.017138932670393587
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,5.927737470406509,5.927737470406509,4.703516307752437,0.0,0.0,0.0,0.12418575252384739,0.025397650375116813,0.0,0.0,0.3100822896385393,0.0,0.0,0.0,0.0,0.0,0.0,0.7645554701165674,0.0,0.004875803787797815,0.0,0.0,0.004875803787797815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02071372784042849,0.02071372784042849
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,5.344529417886342,5.344529417886342,4.8736789509444085,0.0,0.0,0.0,0.13026572209021717,0.026641085617886376,0.0,0.0,0.31394365923382983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00376377836251059,0.0,0.0,0.00376377836251059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018612564908105714,0.018612564908105714
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,5.393864727759139,5.393864727759139,4.827260836908271,0.0,0.0,0.0,0.15056837599949832,0.030793250380715374,0.0,0.0,0.3852422644706538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007869718394340329,0.0,0.0,0.007869718394340329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019191400013740353,0.019191400013740353
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,6.211191715377796,6.211191715377796,4.615789901917192,0.0,0.0,0.0,0.19574316466638264,0.04003209996703161,0.0,0.0,0.5165439969167972,0.0,0.0,0.0,0.0,0.0,0.0,0.8430825519103916,0.0,0.012831062599467936,0.0,0.0,0.012831062599467936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247624943707565,0.02247624943707565
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,7.203938149417762,7.203938149417762,4.987697358303283,0.0,0.0,0.0,0.2539184031400074,0.051929715733851876,0.0,0.0,0.5915718014097683,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.01000822882758499,0.0,0.0,0.01000822882758499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025581422045231676,0.025581422045231676
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,8.431640358765193,8.431640358765193,6.138712404488238,0.0,0.0,0.0,0.28317232098727557,0.057912533911360864,0.0,0.0,0.633022228547466,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.005132425039787175,0.0,0.0,0.005132425039787175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02928304830714399,0.02928304830714399
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,7.446570878821825,7.446570878821825,5.180993689782897,0.0,0.0,0.0,0.25614412676666654,0.05238490603831671,0.0,0.0,0.6382272854030911,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.002993914606542514,0.0,0.0,0.002993914606542514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02570805432065151,0.02570805432065151
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,7.33181396655998,7.33181396655998,5.160630345660301,0.0,0.0,0.0,0.19823358141118727,0.040541423560820994,0.0,0.0,0.6135877450968175,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.00213851043324466,0.0,0.0,0.00213851043324466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025230967759323226,0.025230967759323226
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,6.02595527440168,6.02595527440168,5.223328973964361,0.0,0.0,0.0,0.17044850909376597,0.03485900397545274,0.0,0.0,0.5285059871363008,0.0,0.0,0.0,0.0,0.0,0.0,0.06881280023179884,0.0,0.0013686466772765843,0.0,0.0,0.0013686466772765843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020698228480537595,0.020698228480537595
2018/01/02 00:00:00,2018/01/02 00:00:00,2018/01/02 05:00:00,5.9445089006664285,5.9445089006664285,5.409154164367719,0.0,0.0,0.0,0.06973743939315147,0.014262240778571139,0.0,0.0,0.45135505612698584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009409445906276482,0.0,0.0,0.0009409445906276482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020377562121891485,0.020377562121891485
