Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,6.257578604711326,6.257578604711326,5.8988111556956415,0.0,0.0,0.0,0.021391953935972822,0.003540905617255768,0.0,0.0,0.3338345894624556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021351727398324253,0.021351727398324253
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,6.142205255021971,6.142205255021971,5.8154623949408375,0.0,0.0,0.0,0.012835172361583729,0.0021245433703534666,0.0,0.0,0.3117831443491964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02095805750343169,0.02095805750343169
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,6.967860016597129,6.967860016597129,6.632948891128221,0.0,0.0,0.0,0.008556781574389147,0.00141636224690231,0.0,0.0,0.32493798164761595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023775306236193627,0.023775306236193627
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,6.500569393601321,6.500569393601321,6.188743446907399,0.0,0.0,0.0,0.008556781574389147,0.00141636224690231,0.0,0.0,0.3018528028726312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022180845722267747,0.022180845722267747
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,6.421138083822161,6.421138083822161,6.129501511273065,0.0,0.0,0.0,0.009513215543592695,0.0015746760888366875,0.0,0.0,0.28054868091666646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02190981506002092,0.02190981506002092
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,6.576612518579863,6.576612518579863,6.238691048971635,0.0,0.0,0.0,0.0261031474080784,0.004320726454533516,0.0,0.0,0.3074975957456162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02244031542734442,0.02244031542734442
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,6.875623683870889,6.875623683870889,6.424622895208874,0.0,0.0,0.0,0.06128298442037081,0.010143872991956335,0.0,0.0,0.37957393124968736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023460583056989923,0.023460583056989923
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,7.740600955591417,7.740600955591417,6.521966386406883,0.0,0.0,0.0,0.077552036975817,0.012836809773394338,0.0,0.0,0.5438415428247125,0.0,0.0,0.0,0.0,0.0,0.0,0.5844041796106099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02641200565639888,0.02641200565639888
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,9.281075743660272,9.281075743660272,5.826778066617635,0.0,0.0,0.0,0.08241603400308847,0.01364192343658425,0.0,0.0,2.939624520729041,0.0,0.0,0.0,0.0,0.0,0.0,0.4186151988739233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316683196105014,0.0316683196105014
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,8.981114785740285,8.981114785740285,5.4729771904183835,0.0,0.0,0.0,0.08471791961331047,0.014022943314988575,0.0,0.0,3.4093967323936027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030644811156476433,0.030644811156476433
