Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,4.330688288004913,4.330688288004913,3.947558407687152,0.0,0.0,0.0,0.04016694086881613,0.006648637472578029,0.0,0.002479712513910494,0.33383458946245564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014776909986073143,0.014776909986073143
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.18160510028273,4.18160510028273,3.84024478142035,0.0,0.0,0.0,0.024100164521289744,0.003989182483546828,0.0,0.0014878275083463005,0.31178314434919646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014268217441400891,0.014268217441400891
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,4.851654603785475,4.851654603785475,4.506998505795737,0.0,0.0,0.0,0.016066776347526488,0.0026594549890312166,0.0,0.0009918850055641996,0.3249379816476161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01655451941951773,0.01655451941951773
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,4.222693815134713,4.222693815134713,3.9011228959199595,0.0,0.0,0.0,0.016066776347526488,0.0026594549890312166,0.0,0.0009918850055641996,0.30185280287263133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014408417843838743,0.014408417843838743
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,4.209649222677418,4.209649222677418,3.9071784336356945,0.0,0.0,0.0,0.017862639726856408,0.0029567154799020373,0.0,0.0011027529182972623,0.28054868091666646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014363907882435988,0.014363907882435988
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,4.329522338452703,4.329522338452703,3.961873049805565,0.0,0.0,0.0,0.04901298785367805,0.008112880409570014,0.0,0.003025824638272749,0.3074975957456162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014772931604246628,0.014772931604246628
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,4.310738394318977,4.310738394318977,3.78994489282689,0.0,0.0,0.0,0.11506896559543632,0.019046803665911303,0.0,0.007103800981051644,0.37957393124968747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014708838177708334,0.014708838177708334
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,5.060010154469772,5.060010154469772,3.497431780384565,0.0,0.0,0.0,0.14561680960922585,0.02410323903349063,0.0,0.008989677013318481,0.4351960873728605,0.0,0.0,0.0,0.0,0.0,0.0,0.9486725610563114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017265457499750458,0.017265457499750458
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,5.914666194436066,5.914666194436066,4.054426143664361,0.0,0.0,0.0,0.15474977060779888,0.025614973445354898,0.0,0.009553501820171034,0.3515009340675272,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020181662622759607,0.020181662622759607
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,5.779652013369476,5.779652013369476,3.987932755023642,0.0,0.0,0.0,0.15907194255475157,0.026330401450272864,0.0,0.009820331796074236,0.2776757117138819,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019720975483029334,0.019720975483029334
