Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,6.291352174739629,6.291352174739629,5.9370740346943744,0.0,0.0,0.0,0.04016694086881613,0.0066486374725780156,0.0,0.0,0.30746256170386066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021466967510525098,0.021466967510525098
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,6.03539395721717,6.03539395721717,5.720047084901754,0.0,0.0,0.0,0.024100164521289744,0.00398918248354682,0.0,0.0,0.2872575253105797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020593602518867493,0.020593602518867493
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,6.1641843481836895,6.1641843481836895,5.863046466629392,0.0,0.0,0.0,0.016066776347526488,0.002659454989031212,0.0,0.0,0.2824116502177403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021033053222270615,0.021033053222270615
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,6.090851363477193,6.090851363477193,5.797181508699929,0.0,0.0,0.0,0.016066776347526488,0.002659454989031212,0.0,0.0,0.27494362344070633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020782830892249908,0.020782830892249908
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,6.069103253324278,6.069103253324278,5.789798957946165,0.0,0.0,0.0,0.017862639726856408,0.002956715479902032,0.0,0.0,0.2584849401713542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020708623319521353,0.020708623319521353
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,6.198135595812746,6.198135595812746,5.858424135455202,0.0,0.0,0.0,0.04901298785367805,0.00811288040957,0.0,0.0,0.28258559209429646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021148899595125257,0.021148899595125257
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,6.42265774720738,6.42265774720738,5.700230381582393,0.0,0.0,0.0,0.11506896559543632,0.019046803665911268,0.0,0.0,0.3468471509339833,0.0,0.0,0.0,0.0,0.0,0.0,0.24146444542965484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021915000362577725,0.021915000362577725
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,7.37684615858125,7.37684615858125,6.786373757424263,0.0,0.0,0.0,0.14561680960922585,0.02410323903349059,0.0,0.0,0.42075235251426946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025170823762216,0.025170823762216
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,6.368858156495824,6.368858156495824,5.864439206199357,0.0,0.0,0.0,0.15474977060779888,0.02561497344535485,0.0,0.0,0.32405420624331344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021731428686122923,0.021731428686122923
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,6.341714816289483,6.341714816289483,5.663837481603964,0.0,0.0,0.0,0.15907194255475157,0.02633040145027282,0.0,0.0,0.25149766129503254,0.0,0.0,0.0,0.0,0.0,0.0,0.24097732938546257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02163881183903619,0.02163881183903619
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,6.6839017700383385,6.6839017700383385,5.386696383416388,0.0,0.0,0.0,0.15474688598211445,0.02561449596735914,0.0,0.0,0.24927393788638783,0.0,0.0,0.0,0.0,0.0,0.0,0.8675700667860888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022806401256164354,0.022806401256164354
