Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,11.607494295908241,11.607494295908241,10.777738222175651,0.0,0.0,0.0,0.03462761493288742,0.007081811234511524,0.0,0.0,0.3773887958945003,0.0,0.0,0.0,0.0,0.0,0.0,0.4106578516706898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03960638285825732,0.03960638285825732
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,12.163557714748325,12.163557714748325,10.467640402918194,0.0,0.0,0.0,0.0207765689597325,0.0042490867407069255,0.0,0.0,0.3520707852988377,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04150374848244854,0.04150374848244854
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,11.940886416285283,11.940886416285283,10.610608733155958,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.3464735195664764,0.0,0.0,0.0,0.0,0.0,0.0,0.9671203930958863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04074396308228845,0.04074396308228845
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,10.70189684858284,10.70189684858284,10.347911910060564,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.33730116805531524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03651635857740336,0.03651635857740336
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,10.630233614313557,10.630233614313557,10.295204114747467,0.0,0.0,0.0,0.015399246165313244,0.003149352177673369,0.0,0.0,0.3164809012231033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03627183366780847,0.03627183366780847
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,10.847379324075122,10.847379324075122,10.449787764717609,0.0,0.0,0.0,0.0422537249139898,0.008641452909067019,0.0,0.0,0.3466963815344563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03701276499179596,0.03701276499179596
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,10.809753358132541,10.809753358132541,10.263870826897636,0.0,0.0,0.0,0.09920008208685564,0.020287745983912635,0.0,0.0,0.42639470316413536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036884379969624646,0.036884379969624646
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,11.765198406118275,11.765198406118275,10.812700117441166,0.0,0.0,0.0,0.12553514661153897,0.025673619546788633,0.0,0.0,0.6131728361889728,0.0,0.0,0.0,0.0,0.0,0.0,0.18811668632980869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040144491187933715,0.040144491187933715
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,15.485570091028169,15.485570091028169,10.506193159712621,0.0,0.0,0.0,0.13340860298673415,0.02728384687316846,0.0,0.0,3.4998636106247916,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05283891614918515,0.05283891614918515
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,13.177709451185214,13.177709451185214,10.379385280167973,0.0,0.0,0.0,0.13713471462519852,0.0280458866299771,0.0,0.0,1.9991140952053863,0.0,0.0,0.0,0.0,0.0,0.0,0.6340294745566789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04496417507631256,0.04496417507631256
