Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,8.508880659078667,8.508880659078667,7.951748479015427,0.0,0.0,0.0,0.0898712375603649,0.019945912417734097,0.0,0.0,0.4473150300851408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029033482721373263,0.029033482721373263
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,8.020515137838927,8.020515137838927,7.53774080256497,0.0,0.0,0.0,0.0539227425362191,0.01196754745064049,0.0,0.0,0.41688404528709644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02736711172726371,0.02736711172726371
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,8.3668230690349,8.3668230690349,7.9123608201284465,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0,0.41053538891521335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02854876249185929,0.02854876249185929
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,9.148969872581109,9.148969872581109,8.674130794868644,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0,0.43091221772122645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03121755602842242,0.03121755602842242
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,8.178382518675951,8.178382518675951,7.748818172119352,0.0,0.0,0.0,0.03996663683177917,0.008870146439706118,0.0,0.0,0.3807275632851134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02790577715899824,0.02790577715899824
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,8.351790201165743,8.351790201165743,7.80698062618478,0.0,0.0,0.0,0.10966376277763588,0.02433864122871006,0.0,0.0,0.410807170974617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028497468258573015,0.028497468258573015
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,8.411662349535463,8.411662349535463,7.591119440486985,0.0,0.0,0.0,0.2574602426564558,0.05714041099773394,0.0,0.0,0.5059422553942886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02870176034525648,0.02870176034525648
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,8.738043271675993,8.738043271675993,7.762929243148815,0.0,0.0,0.0,0.32580930003890723,0.07230971710047196,0.0,0.0,0.5769950113877987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029815417387025235,0.029815417387025235
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,9.158930795121584,9.158930795121584,7.844992522223393,0.0,0.0,0.0,0.34624377898548625,0.07684492033606474,0.0,0.0,0.45799037363442585,0.0,0.0,0.0,0.0,0.0,0.0,0.43285919994221506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312515440797367,0.0312515440797367
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,8.16759028038371,8.16759028038371,7.378743584485828,0.0,0.0,0.0,0.3559143920174809,0.07899120435081865,0.0,0.0,0.3539410995295833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027868952542866338,0.027868952542866338
