Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,5.6117460730419575,5.6117460730419575,5.226606596267677,0.0,0.0,0.0,0.021391953935972822,0.003540905617255768,0.0,0.0,0.36020661722105063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019148057091923024,0.019148057091923024
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,5.287598264299464,5.287598264299464,4.936329785179714,0.0,0.0,0.0,0.012835172361583729,0.0021245433703534666,0.0,0.0,0.33630876338781307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804201974325545,0.01804201974325545
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,5.3723579328848325,5.3723579328848325,5.032424682047611,0.0,0.0,0.0,0.008556781574389147,0.00141636224690231,0.0,0.0,0.32996010701593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018331231505876303,0.018331231505876303
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,5.293588477172726,5.293588477172726,4.96235419225919,0.0,0.0,0.0,0.008556781574389147,0.00141636224690231,0.0,0.0,0.32126114109224385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018062459181640053,0.018062459181640053
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,5.294762596253941,5.294762596253941,4.981062282959533,0.0,0.0,0.0,0.009513215543592695,0.0015746760888366875,0.0,0.0,0.30261242166197866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01806646543903431,0.01806646543903431
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,5.419017086152305,5.419017086152305,5.056183612892757,0.0,0.0,0.0,0.0261031474080784,0.004320726454533516,0.0,0.0,0.33240959939693576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01849043901794073,0.01849043901794073
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,6.1597701504997335,6.1597701504997335,4.8758851382548904,0.0,0.0,0.0,0.06128298442037081,0.010143872991956335,0.0,0.0,0.4123007115653916,0.0,0.0,0.0,0.0,0.0,0.0,0.800157443267124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021017991366625816,0.021017991366625816
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,5.840501290582155,5.840501290582155,5.058745949616757,0.0,0.0,0.0,0.077552036975817,0.012836809773394338,0.0,0.0,0.4746426262724929,0.0,0.0,0.0,0.0,0.0,0.0,0.2167238679436948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019928601669051513,0.019928601669051513
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,5.744859911883972,5.744859911883972,5.26485373174435,0.0,0.0,0.0,0.08241603400308847,0.01364192343658425,0.0,0.0,0.38394822269994927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960226000001902,0.01960226000001902
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,5.658135077927596,5.658135077927596,5.255540452866565,0.0,0.0,0.0,0.08471791961331047,0.014022943314988575,0.0,0.0,0.30385376213273146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019306342820184102,0.019306342820184102
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,6.520079032852859,6.520079032852859,5.3917317619160565,0.0,0.0,0.0,0.08241449772030396,0.01364166914320097,0.0,0.0,0.2998554153126517,0.0,0.0,0.0,0.0,0.0,0.0,0.7324356887606465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022247415321349547,0.022247415321349547
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,6.179814719506206,6.179814719506206,5.399693127205166,0.0,0.0,0.0,0.0792231691432916,0.013113424116184082,0.0,0.0,0.32145255100868725,0.0,0.0,0.0,0.0,0.0,0.0,0.3663324480328776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021086386220335023,0.021086386220335023
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,5.849476547277755,5.849476547277755,5.431524518817739,0.0,0.0,0.0,0.07691974725028507,0.012732149944396478,0.0,0.0,0.3283001312653351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01995922649159072,0.01995922649159072
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,6.086438938502738,6.086438938502738,5.581432661675362,0.0,0.0,0.0,0.07624193157464539,0.012619954427309996,0.0,0.0,0.3394510809402055,0.0,0.0,0.0,0.0,0.0,0.0,0.07669330988521464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02076777508533616,0.02076777508533616
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,6.414530624528073,6.414530624528073,5.53837469883895,0.0,0.0,0.0,0.0767184197538013,0.012698825187558407,0.0,0.0,0.4652852512429906,0.0,0.0,0.0,0.0,0.0,0.0,0.3214534295047723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02188726949111082,0.02188726949111082
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,9.854659710027683,9.854659710027683,7.0863242553313,0.0,0.0,0.0,0.08047445172851211,0.013320542808943188,0.0,0.0,2.315079333580377,0.0,0.0,0.0,0.0,0.0,0.0,0.35946112657855045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033625467776519764,0.033625467776519764
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,7.862643346394794,7.862643346394794,5.347798064076604,0.0,0.0,0.0,0.09301685287416112,0.015396625190357687,0.0,0.0,1.3488047334849809,0.0,0.0,0.0,0.0,0.0,0.0,1.0576270707686906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02682843124592508,0.02682843124592508
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,7.4075458461771095,7.4075458461771095,5.514717605571057,0.0,0.0,0.0,0.12092455024524053,0.020016049983515805,0.0,0.0,1.3335949541792504,0.0,0.0,0.0,0.0,0.0,0.0,0.41829268619804555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025275575360584574,0.025275575360584574
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,7.328664716937086,7.328664716937086,5.616496217199312,0.0,0.0,0.0,0.15686355511329078,0.025964857866925938,0.0,0.0,0.7384573093123212,0.0,0.0,0.0,0.0,0.0,0.0,0.7908827774452368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025006421990759243,0.025006421990759243
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,6.841106075974676,6.841106075974676,5.779344646858783,0.0,0.0,0.0,0.1749357920908697,0.028956266955680432,0.0,0.0,0.6669224875371257,0.0,0.0,0.0,0.0,0.0,0.0,0.1909468825322176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02334280418423437,0.02334280418423437
