Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,10.104800869496987,10.104800869496987,9.658009983981449,0.0,0.0,0.0,0.03462761493288742,0.007081811234511524,0.0,0.0013206356950426956,0.40376082365309507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034478984158090774,0.034478984158090774
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,9.931735443843142,9.931735443843142,9.165744189177287,0.0,0.0,0.0,0.0207765689597325,0.0042490867407069255,0.0,0.0007923814170256198,0.3765964043374542,0.0,0.0,0.0,0.0,0.0,0.0,0.3635768132109352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03388846088638089,0.03388846088638089
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,10.116184808178298,10.116184808178298,9.460232610459698,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0005282542780170794,0.3702477479655712,0.0,0.0,0.0,0.0,0.0,0.0,0.26849242500805137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034517827738139384,0.034517827738139384
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,9.637011980538896,9.637011980538896,9.259340028912835,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0005282542780170794,0.3604599268810839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032882823491490736,0.032882823491490736
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,9.580195599979051,9.580195599979051,9.222515059785689,0.0,0.0,0.0,0.015399246165313244,0.003149352177673369,0.0,0.0005872998819606039,0.33854464196841544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032688958109031156,0.032688958109031156
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,9.796872653476903,9.796872653476903,9.372757608491098,0.0,0.0,0.0,0.0422537249139898,0.008641452909067019,0.0,0.001611481976973595,0.3716083851857758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334282903127489,0.0334282903127489
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,10.156053789731292,10.156053789731292,9.147053175703878,0.0,0.0,0.0,0.09920008208685564,0.020287745983912635,0.0,0.003783314837275832,0.4591214834798395,0.0,0.0,0.0,0.0,0.0,0.0,0.42660798763952956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03465386624113596,0.03465386624113596
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,10.708468195179714,10.708468195179714,9.401120040245749,0.0,0.0,0.0,0.12553514661153897,0.025673619546788633,0.0,0.004787687396863187,0.525818818830145,0.0,0.0,0.0,0.0,0.0,0.0,0.6255328825486288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036538780924774396,0.036538780924774396
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,10.680623837018148,10.680623837018148,9.656629204277841,0.0,0.0,0.0,0.13340860298673415,0.02728384687316846,0.0,0.005087967030692913,0.42096929816718703,0.0,0.0,0.0,0.0,0.0,0.0,0.43724491768252277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036443772107050645,0.036443772107050645
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,10.51216876555812,10.51216876555812,9.545723484157946,0.0,0.0,0.0,0.13713471462519852,0.0280458866299771,0.0,0.005230074306721228,0.328897430831157,0.0,0.0,0.0,0.0,0.0,0.0,0.4671371750071211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035868980004244023,0.035868980004244023
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,11.022149092971896,11.022149092971896,9.95251349723538,0.0,0.0,0.0,0.1334061161728204,0.02728333828640189,0.0,0.005087872188029687,0.32598793917187846,0.0,0.0,0.0,0.0,0.0,0.0,0.5778703299173873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03760910371938981,0.03760910371938981
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,10.38970703497292,10.38970703497292,9.881675157588028,0.0,0.0,0.0,0.1282402441155104,0.026226848232368115,0.0,0.004890855008298148,0.34867393002871505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03545112356913451,0.03545112356913451
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,10.516843349060677,10.516843349060677,9.809409271817639,0.0,0.0,0.0,0.1245116456631323,0.025464299888792907,0.0,0.0047486528896066044,0.3544326551245618,0.0,0.0,0.0,0.0,0.0,0.0,0.19827682367694524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035884930332470366,0.035884930332470366
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,10.614917544258363,10.614917544258363,9.496472131214697,0.0,0.0,0.0,0.12341445088224523,0.025239908854619953,0.0,0.004706807830544282,0.3699390254426366,0.0,0.0,0.0,0.0,0.0,0.0,0.5951452200336184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036219573109325685,0.036219573109325685
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,10.358107697568624,10.358107697568624,9.788537321831623,0.0,0.0,0.0,0.12418575252384692,0.025397650375116772,0.0,0.004736223904435553,0.4152507489335995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035343302240655114,0.035343302240655114
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,11.071076861302139,11.071076861302139,10.319976084222724,0.0,0.0,0.0,0.13026572209021672,0.026641085617886327,0.0,0.004968103138673406,0.4250960810417594,0.0,0.0,0.0,0.0,0.0,0.0,0.16412978519088026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377760520611668,0.0377760520611668
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,11.159144093391149,11.159144093391149,9.891608100867819,0.0,0.0,0.0,0.15056837599949777,0.030793250380715325,0.0,0.005742410277893374,0.5531966479722554,0.0,0.0,0.0,0.0,0.0,0.0,0.5272353078929676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807654968989395,0.03807654968989395
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,12.163552347378754,12.163552347378754,10.635185367719636,0.0,0.0,0.0,0.19574316466638192,0.04003209996703154,0.0,0.007465296435231233,0.8007164318229407,0.0,0.0,0.0,0.0,0.0,0.0,0.484409986767533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041503730168238016,0.041503730168238016
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,11.587124926889507,11.587124926889507,10.459537066120213,0.0,0.0,0.0,0.2539184031400065,0.051929715733851786,0.0,0.009683996644436877,0.8120557452509994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03953687974179045,0.03953687974179045
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,11.806069431102715,11.806069431102715,10.714309103810773,0.0,0.0,0.0,0.28317232098727463,0.05791253391136077,0.0,0.010799689082504754,0.7398757833108003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040283948802305646,0.040283948802305646
