Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,4.251893377425966,4.251893377425966,3.893125928410282,0.0,0.0,0.0,0.021391953935972745,0.003540905617255768,0.0,0.0,0.3338345894624556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01450805080629547,0.01450805080629547
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.087370750148497,4.087370750148497,3.760627890067364,0.0,0.0,0.0,0.012835172361583684,0.0021245433703534666,0.0,0.0,0.3117831443491963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013946676749269676,0.013946676749269676
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,4.17913106244861,4.17913106244861,3.862972040010484,0.0,0.0,0.0,0.008556781574389117,0.00141636224690231,0.0,0.0,0.3061858786168351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014259775680658567,0.014259775680658567
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,4.681654682097234,4.681654682097234,4.354827052978686,0.0,0.0,0.0,0.008556781574389117,0.00141636224690231,0.0,0.0,0.31685448529725596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015974456073147472,0.015974456073147472
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,4.073480919933214,4.073480919933214,3.7780939267779625,0.0,0.0,0.0,0.009513215543592662,0.0015746760888366875,0.0,0.0,0.28429910152282256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013899282719230252,0.013899282719230252
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,4.167845825756596,4.167845825756596,3.8299243561483687,0.0,0.0,0.0,0.026103147408078314,0.004320726454533516,0.0,0.0,0.30749759574561614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014221268885507479,0.014221268885507479
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,4.115548112819142,4.115548112819142,3.6645473241571276,0.0,0.0,0.0,0.061282984420370605,0.010143872991956335,0.0,0.0,0.37957393124968736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014042821824633867,0.014042821824633867
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,4.580972129043499,4.580972129043499,4.055387194921427,0.0,0.0,0.0,0.07755203697581672,0.012836809773394338,0.0,0.0,0.43519608737286036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015630913216977495,0.015630913216977495
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,4.894946773462816,4.894946773462816,3.9992073399153765,0.0,0.0,0.0,0.08241603400308818,0.01364192343658425,0.0,0.0,0.37476078184660094,0.0,0.0,0.0,0.0,0.0,0.0,0.4249206942611662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016702238315887106,0.016702238315887106
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,5.0271259238587795,5.0271259238587795,3.8303179794941435,0.0,0.0,0.0,0.08471791961331018,0.014022943314988575,0.0,0.0,0.8020240441892047,0.0,0.0,0.0,0.0,0.0,0.0,0.29604303724713166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017153251937173757,0.017153251937173757
