Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,7.317283958280156,7.317283958280156,6.551011789896121,0.0,0.0,0.0,0.047863275929801996,0.010622716851767305,0.0,0.0007579980024801303,0.4473150300851398,0.0,0.0,0.0,0.0,0.0,0.0,0.2597131475148464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024967589261395532,0.024967589261395532
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,7.072949608394818,7.072949608394818,6.400999617590032,0.0,0.0,0.0,0.028717965557881274,0.0063736301110604,0.0,0.0004547988014880795,0.41688404528709555,0.0,0.0,0.0,0.0,0.0,0.0,0.21951955104725976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02413388652071071,0.02413388652071071
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,7.131351319416595,7.131351319416595,6.697118334187762,0.0,0.0,0.0,0.01914531037192084,0.004249086740706931,0.0,0.00030319920099205274,0.4105353889152125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024333161270914228,0.024333161270914228
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,7.025282196581784,7.025282196581784,6.601925887598239,0.0,0.0,0.0,0.01914531037192084,0.004249086740706931,0.0,0.00030319920099205274,0.3996587126699241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397123869043827,0.02397123869043827
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,6.954470775731831,6.954470775731831,6.553647519122074,0.0,0.0,0.0,0.021285276787033795,0.004724028266510062,0.0,0.00033708928136200487,0.3744768622748523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023729620286549926,0.023729620286549926
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,7.097434276299427,7.097434276299427,6.614335690098904,0.0,0.0,0.0,0.058404302419901195,0.012962179363600548,0.0,0.0009249334424049668,0.410807170974616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024217431608605268,0.024217431608605268
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,7.093281324110016,7.093281324110016,6.417618781588794,0.0,0.0,0.0,0.13711717975334048,0.030431618975869004,0.0,0.002171488397726374,0.5059422553942876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024203261158875753,0.024203261158875753
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,7.702396530806589,7.702396530806589,6.535873148961849,0.0,0.0,0.0,0.17351825624726097,0.03851042932018302,0.0,0.0027479625887321365,0.5769950113877974,0.0,0.0,0.0,0.0,0.0,0.0,0.37475172230076703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026281646852307904,0.026281646852307904
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,8.9835021305153,8.9835021305153,7.17556319688098,0.0,0.0,0.0,0.1844011719703798,0.04092577030975275,0.0,0.002920312437734997,0.457990373634425,0.0,0.0,0.0,0.0,0.0,0.0,1.1217013052820275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030652957108459136,0.030652957108459136
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,8.972049801820814,8.972049801820814,6.8517053768351115,0.0,0.0,0.0,0.18955150963708653,0.04206882994496574,0.0,0.003001876968946517,0.5669013376038499,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030613880172185963,0.030613880172185963
