Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,7.76418648256267,7.76418648256267,7.232003063312173,0.0,0.0,0.0,0.0898712375603649,0.019945912417734097,0.0,0.0014232669458539432,0.42094300232654486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02649248275053508,0.02649248275053508
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,7.568759306110789,7.568759306110789,7.109656629707938,0.0,0.0,0.0,0.05392274253621909,0.01196754745064049,0.0,0.0008539601675123682,0.39235842624847894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025825658078978714,0.025825658078978714
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,7.92100703048787,7.92100703048787,7.489749703202171,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0005693067783415784,0.3867611605161177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027576242965798,0.027027576242965798
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,7.883812509948653,7.883812509948653,7.462816389334916,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0005693067783415784,0.37649995384415536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026900663372439997,0.026900663372439997
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,7.852377714024634,7.852377714024634,7.450494868199497,0.0,0.0,0.0,0.039966636831779194,0.008870146439706118,0.0,0.0006329410241114424,0.3524131215295401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02679340348234668,0.02679340348234668
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,8.020720431906987,8.020720431906987,7.499086144660702,0.0,0.0,0.0,0.10966376277763583,0.02433864122871006,0.0,0.0017367159166417452,0.38589516732329643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027367812219139982,0.027367812219139982
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,8.616518881491478,8.616518881491478,7.246256298344325,0.0,0.0,0.0,0.2574602426564558,0.05714041099773394,0.0,0.0040773295571716285,0.4732154750785834,0.0,0.0,0.0,0.0,0.0,0.0,0.578369124857208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02940075928756265,0.02940075928756265
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,9.736847856712867,9.736847856712867,8.680882164543267,0.0,0.0,0.0,0.3258093000389073,0.07230971710047196,0.0,0.005159755445514127,0.5625512765292064,0.0,0.0,0.0,0.0,0.0,0.0,0.09013564305549925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03322347736854065,0.03322347736854065
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,8.241263763608627,8.241263763608627,7.373090733817303,0.0,0.0,0.0,0.34624377898548625,0.07684492033606474,0.0,0.005483370867198723,0.43960095960257284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028120336701128307,0.028120336701128307
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,8.114706450098264,8.114706450098264,7.142221641196388,0.0,0.0,0.0,0.3559143920174809,0.07899120435081865,0.0,0.005636521800113578,0.5319426907334643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02768850556818768,0.02768850556818768
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,8.64237268303419,8.64237268303419,7.305497609893738,0.0,0.0,0.0,0.34623732480016495,0.07684348790207761,0.0,0.0054832686539781255,0.3268297243179732,0.0,0.0,0.0,0.0,0.0,0.0,0.5814812674662578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029488976049607752,0.029488976049607752
