Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,5.5608579588854115,5.5608579588854115,5.11675693278247,0.0,0.0,0.0,0.03462761493288753,0.007081811234511536,0.0,0.0,0.40239159993554185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018974419777887958,0.018974419777887958
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.556401485992958,4.556401485992958,4.174304484185472,0.0,0.0,0.0,0.02077656895973258,0.004249086740706933,0.0,0.0,0.35707134610704644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015547074769942777,0.015547074769942777
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,4.8164990671830195,4.8164990671830195,4.453341777149583,0.0,0.0,0.0,0.01385104597315504,0.00283272449380462,0.0,0.0,0.3464735195664769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016434563845406,0.016434563845406
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,4.696704469741089,4.696704469741089,4.342719531218814,0.0,0.0,0.0,0.01385104597315504,0.00283272449380462,0.0,0.0,0.3373011680553156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01602580803905523,0.01602580803905523
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,4.653444888631447,4.653444888631447,4.318415389065357,0.0,0.0,0.0,0.0153992461653133,0.003149352177673375,0.0,0.0,0.31648090122310363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01587820033940551,0.01587820033940551
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,5.026324850297776,5.026324850297776,4.195786684917935,0.0,0.0,0.0,0.04225372491398994,0.008641452909067033,0.0,0.0,0.3466963815344567,0.0,0.0,0.0,0.0,0.0,0.0,0.4329466060223274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01715051856291176,0.01715051856291176
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,5.427457739529466,5.427457739529466,3.562754337463708,0.0,0.0,0.0,0.09920008208685599,0.02028774598391267,0.0,0.0,0.42639470316413597,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018519239699699198,0.018519239699699198
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,5.888968229321104,5.888968229321104,3.9325663124014096,0.0,0.0,0.0,0.12553514661153947,0.025673619546788675,0.0,0.0,0.48637227993051335,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200939775962522,0.0200939775962522
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,6.259846412798778,6.259846412798778,4.391811082573257,0.0,0.0,0.0,0.13340860298673463,0.0272838468731685,0.0,0.0,0.3885220095347654,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02135946547452493,0.02135946547452493
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,6.086859393279994,6.086859393279994,4.300138540781657,0.0,0.0,0.0,0.137134714625199,0.02804588662997715,0.0,0.0,0.3027193804123078,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020769209735438762,0.020769209735438762
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,6.394612424267012,6.394612424267012,4.61440489851819,0.0,0.0,0.0,0.13340611617282086,0.02728333828640194,0.0,0.0,0.30069720045874676,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02181930582511401,0.02181930582511401
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,6.445740178496908,6.445740178496908,4.651688201947976,0.0,0.0,0.0,0.12824024411551088,0.026226848232368163,0.0,0.0,0.32076401337019905,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199376082436617,0.02199376082436617
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,6.032000325932384,6.032000325932384,4.605878347182698,0.0,0.0,0.0,0.12451164566313278,0.025464299888792955,0.0,0.0,0.32538496321382093,0.0,0.0,0.0,0.0,0.0,0.0,0.9507610699839413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02058202297753682,0.02058202297753682
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,5.202444408875789,5.202444408875789,4.479459215952092,0.0,0.0,0.0,0.12341445088224565,0.02523990885461999,0.0,0.0,0.3411845542501715,0.0,0.0,0.0,0.0,0.0,0.0,0.2331462789366602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017751462960388396,0.017751462960388396
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,5.1653082027367745,5.1653082027367745,4.633830029828235,0.0,0.0,0.0,0.12418575252384739,0.025397650375116813,0.0,0.0,0.381894770009576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017624749066696158,0.017624749066696158
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,5.118674655917718,5.118674655917718,4.592389993601651,0.0,0.0,0.0,0.13026572209021717,0.026641085617886376,0.0,0.0,0.36937785460796335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017465628927390547,0.017465628927390547
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,6.0450796470478245,6.0450796470478245,5.3375650891009085,0.0,0.0,0.0,0.15056837599949832,0.030793250380715374,0.0,0.0,0.5261529315667016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020626651437945096,0.020626651437945096
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,5.489118635781501,5.489118635781501,4.542818601920352,0.0,0.0,0.0,0.19574316466638264,0.04003209996703161,0.0,0.0,0.7105247692277337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018729635242620314,0.018729635242620314
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,6.239176021387501,6.239176021387501,4.542021485172296,0.0,0.0,0.0,0.2539184031400074,0.051929715733851876,0.0,0.0,0.7389763663818965,0.0,0.0,0.0,0.0,0.0,0.0,0.6523300509594503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02128893522784166,0.02128893522784166
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,6.011524785993968,6.011524785993968,4.644539517855172,0.0,0.0,0.0,0.28317232098727557,0.057912533911360864,0.0,0.0,0.6836115091075159,0.0,0.0,0.0,0.0,0.0,0.0,0.3422889041326441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020512157591144484,0.020512157591144484
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,5.556861309465661,5.556861309465661,4.571010169381824,0.0,0.0,0.0,0.25614412676666654,0.05238490603831671,0.0,0.0,0.6773221072788528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01896078265491951,0.01896078265491951
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,5.454413418810086,5.454413418810086,4.570553966824139,0.0,0.0,0.0,0.19823358141118727,0.040541423560820994,0.0,0.0,0.6450844470139389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01861121622164063,0.01861121622164063
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,6.102371231080576,6.102371231080576,4.596648819122291,0.0,0.0,0.0,0.17044850909376597,0.03485900397545274,0.0,0.0,0.5486638763632586,0.0,0.0,0.0,0.0,0.0,0.0,0.7517510225258085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02082213828066162,0.02082213828066162
