Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,10.228916768624769,10.228916768624769,9.807935273175264,0.0,0.0,0.0,0.03462761493288743,0.007081811234511536,0.0,0.0018832733876052814,0.3773887958945002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03490248484603723,0.03490248484603723
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,9.63448577971485,9.63448577971485,9.25625937468301,0.0,0.0,0.0,0.020776568959732507,0.004249086740706933,0.0,0.0011299640325631718,0.35207078529883756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03287420374338117,0.03287420374338117
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,10.023049879620656,10.023049879620656,9.659139280232177,0.0,0.0,0.0,0.013851045973154995,0.00283272449380462,0.0,0.000753309355042114,0.3464735195664763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034200038425140904,0.034200038425140904
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,9.882736846536206,9.882736846536206,9.52799859865889,0.0,0.0,0.0,0.013851045973154995,0.00283272449380462,0.0,0.000753309355042114,0.3373011680553152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033721270866297046,0.033721270866297046
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,9.790815390474682,9.790815390474682,9.454948380426034,0.0,0.0,0.0,0.01539924616531325,0.003149352177673375,0.0,0.0008375104825592121,0.31648090122310324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334076220900108,0.0334076220900108
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,9.994589808421042,9.994589808421042,9.594700218551987,0.0,0.0,0.0,0.042253724913989814,0.008641452909067033,0.0,0.0022980305115422477,0.3466963815344562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03410292870900669,0.03410292870900669
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,10.45850974580588,10.45850974580588,9.88222926925311,0.0,0.0,0.0,0.09920008208685568,0.02028774598391267,0.0,0.005395141276825346,0.4513975072051766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03568588797542819,0.03568588797542819
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,10.351303806441548,10.351303806441548,9.701894787339505,0.0,0.0,0.0,0.12553514661153903,0.025673619546788675,0.0,0.006827412204994309,0.491372840738721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03532008641904581,0.03532008641904581
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,10.71185311353913,10.71185311353913,9.75208304203348,0.0,0.0,0.0,0.13340860298673418,0.0272838468731685,0.0,0.007255621623650905,0.3885220095347649,0.0,0.0,0.0,0.0,0.0,0.0,0.40329999048733234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036550330736393445,0.036550330736393445
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,9.891879638428115,9.891879638428115,9.416521385116136,0.0,0.0,0.0,0.13713471462519855,0.02804588662997715,0.0,0.007458271644496019,0.3027193804123075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033752467342197265,0.033752467342197265
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,10.722119608594124,10.722119608594124,8.90644737406984,0.0,0.0,0.0,0.13340611617282047,0.02728333828640194,0.0,0.007255486374645948,0.3418838875235158,0.0,0.0,0.0,0.0,0.0,0.0,1.3058434061669004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03658536144357232,0.03658536144357232
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,11.956829575565925,11.956829575565925,9.380977517809095,0.0,0.0,0.0,0.1282402441155105,0.026226848232368163,0.0,0.006974532881656,1.333397699753606,0.0,0.0,0.0,0.0,0.0,0.0,1.081012732773692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407983633563133,0.0407983633563133
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,9.662158336340692,9.662158336340692,9.175025119154931,0.0,0.0,0.0,0.12451164566313237,0.025464299888792955,0.0,0.006771747611805927,0.33038552402202886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329686263504012,0.0329686263504012
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,9.79662117761345,9.79662117761345,8.672360601268323,0.0,0.0,0.0,0.12341445088224527,0.02523990885461999,0.0,0.006712075071959657,0.34118455425017113,0.0,0.0,0.0,0.0,0.0,0.0,0.6277095872861319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342743224217194,0.03342743224217194
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,10.087594226116503,10.087594226116503,9.047109268511214,0.0,0.0,0.0,0.12418575252384699,0.025397650375116813,0.0,0.006754023437686262,0.7115859324327162,0.0,0.0,0.0,0.0,0.0,0.0,0.17256159883592004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034420272700815,0.034420272700815
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,11.213811174985185,11.213811174985185,9.453391083026574,0.0,0.0,0.0,0.13026572209021675,0.026641085617886376,0.0,0.0070846914581082915,0.6210380159752611,0.0,0.0,0.0,0.0,0.0,0.0,0.9753905768171373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03826308136573722,0.03826308136573722
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,11.015914507716417,11.015914507716417,10.056708960846734,0.0,0.0,0.0,0.1505683759994978,0.030793250380715374,0.0,0.008188880928830267,0.5630608232463685,0.0,0.0,0.0,0.0,0.0,0.0,0.20659421631427216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03758783044849292,0.03758783044849292
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,14.161566470876133,14.161566470876133,10.315928817495978,0.0,0.0,0.0,0.19574316466638203,0.04003209996703161,0.0,0.010645777756749958,2.2803957401591384,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04832123188859968,0.04832123188859968
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,13.95878411449843,13.95878411449843,10.330315713364882,0.0,0.0,0.0,0.2539184031400066,0.051929715733851876,0.0,0.013809723025498861,2.9041203817139514,0.0,0.0,0.0,0.0,0.0,0.0,0.40469017752023834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047629310321476784,0.047629310321476784
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,12.778353568162721,12.778353568162721,10.703230311038537,0.0,0.0,0.0,0.28317232098727474,0.057912533911360864,0.0,0.015400740052566086,1.1279366672417728,0.0,0.0,0.0,0.0,0.0,0.0,0.5907009949312078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043601517331543146,0.043601517331543146
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,12.561146383197576,12.561146383197576,10.824971422212842,0.0,0.0,0.0,0.2561441267666657,0.05238490603831671,0.0,0.013930772254051718,0.7575030795895883,0.0,0.0,0.0,0.0,0.0,0.0,0.6562120763361099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04286037624562192,0.04286037624562192
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,11.849368980555688,11.849368980555688,10.95472830586281,0.0,0.0,0.0,0.19823358141118663,0.040541423560820994,0.0,0.010781222706932847,0.645084447013938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04043169287949456,0.04043169287949456
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,11.856041146468382,11.856041146468382,11.092799666047675,0.0,0.0,0.0,0.17044850909376535,0.03485900397545274,0.0,0.009270090988230773,0.5486638763632579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040454459236375306,0.040454459236375306
2018/01/02 00:00:00,2018/01/02 00:00:00,2018/01/02 05:00:00,12.023187355326792,12.023187355326792,11.470181297740263,0.0,0.0,0.0,0.06973743939315125,0.014262240778571139,0.0,0.003792772444287621,0.46521360497051856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04102478531817973,0.04102478531817973
2018/01/02 01:00:00,2018/01/02 01:00:00,2018/01/02 06:00:00,12.370546495130855,12.370546495130855,11.949564999681352,0.0,0.0,0.0,0.03462761493288743,0.007081811234511536,0.0,0.0018832733876052814,0.3773887958945002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04221002295256257,0.04221002295256257
2018/01/02 02:00:00,2018/01/02 02:00:00,2018/01/02 07:00:00,12.584778563133256,12.584778563133256,12.206552158101415,0.0,0.0,0.0,0.020776568959732507,0.004249086740706933,0.0,0.0011299640325631718,0.35207078529883756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042941012526153,0.042941012526153
2018/01/02 03:00:00,2018/01/02 03:00:00,2018/01/02 08:00:00,12.717409599735518,12.717409599735518,12.353499000347037,0.0,0.0,0.0,0.013851045973154995,0.00283272449380462,0.0,0.000753309355042114,0.3464735195664763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043393568045944075,0.043393568045944075
2018/01/02 04:00:00,2018/01/02 04:00:00,2018/01/02 09:00:00,12.8941206426216,12.8941206426216,12.539382394744283,0.0,0.0,0.0,0.013851045973154995,0.00283272449380462,0.0,0.000753309355042114,0.3373011680553152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04399653067003904,0.04399653067003904
2018/01/02 05:00:00,2018/01/02 05:00:00,2018/01/02 10:00:00,12.987202022560085,12.987202022560085,12.651335012511437,0.0,0.0,0.0,0.01539924616531325,0.003149352177673375,0.0,0.0008375104825592121,0.31648090122310324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044314137267710864,0.044314137267710864
2018/01/02 06:00:00,2018/01/02 06:00:00,2018/01/02 11:00:00,13.188151302605783,13.188151302605783,12.766712802787632,0.0,0.0,0.0,0.042253724913989814,0.008641452909067033,0.0,0.0022980305115422477,0.3466963815344562,0.0,0.0,0.0,0.0,0.0,0.0,0.021548909949097368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04499980412376839,0.04499980412376839
2018/01/02 07:00:00,2018/01/02 07:00:00,2018/01/02 12:00:00,14.508813764449526,14.508813764449526,13.187899313453462,0.0,0.0,0.0,0.09920008208685568,0.02028774598391267,0.0,0.005395141276825346,0.4513975072051766,0.0,0.0,0.0,0.0,0.0,0.0,0.7446339744432933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049506087888107654,0.049506087888107654
2018/01/02 08:00:00,2018/01/02 08:00:00,2018/01/02 13:00:00,14.036859969724214,14.036859969724214,12.680280193994463,0.0,0.0,0.0,0.12553514661153903,0.025673619546788675,0.0,0.006827412204994309,0.491372840738721,0.0,0.0,0.0,0.0,0.0,0.0,0.7071707566277079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04789571598451022,0.04789571598451022
2018/01/02 09:00:00,2018/01/02 09:00:00,2018/01/02 14:00:00,12.689905153418843,12.689905153418843,12.133435072400523,0.0,0.0,0.0,0.13340860298673418,0.0272838468731685,0.0,0.007255621623650905,0.3885220095347649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043299719054650014,0.043299719054650014
2018/01/02 10:00:00,2018/01/02 10:00:00,2018/01/02 15:00:00,11.30180274590473,11.30180274590473,10.826444492592751,0.0,0.0,0.0,0.13713471462519855,0.02804588662997715,0.0,0.007458271644496019,0.3027193804123075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03856332082804456,0.03856332082804456
2018/01/02 11:00:00,2018/01/02 11:00:00,2018/01/02 16:00:00,9.833332484209455,9.833332484209455,9.364690342916841,0.0,0.0,0.0,0.13340611617282047,0.02728333828640194,0.0,0.007255486374645948,0.30069720045874637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033552696319603434,0.033552696319603434
