Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,4.679031535968256,4.679031535968256,4.055041690078586,0.0,0.0,0.0,0.06771676742517381,0.015934075277650797,0.0,0.0013206356950426956,0.539018367491801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01596550553419144,0.01596550553419144
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.581974904516553,4.581974904516553,4.029150891727659,0.0,0.0,0.0,0.0406300604551044,0.009560445166590506,0.0,0.0007923814170256198,0.5018411257501736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015634334826180495,0.015634334826180495
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,4.757804843832821,4.757804843832821,4.2290751737349055,0.0,0.0,0.0,0.02708670697006958,0.006373630111060333,0.0,0.0005282542780170794,0.4947410787387687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01623429100250695,0.01623429100250695
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,6.461972094098685,6.461972094098685,5.908863646499023,0.0,0.0,0.0,0.02708670697006958,0.006373630111060333,0.0,0.0005282542780170794,0.5191198562405143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022049146375067972,0.022049146375067972
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,4.701055067504662,4.701055067504662,4.20532762781119,0.0,0.0,0.0,0.030114322719614582,0.007086042399765026,0.0,0.0005872998819606039,0.4579397746921315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016040652882937437,0.016040652882937437
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,4.810700633189974,4.810700633189974,4.212498360179636,0.0,0.0,0.0,0.0826301686787682,0.01944326904540063,0.0,0.001611481976973595,0.49451735330919544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016414778783199434,0.016414778783199434
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,4.85452952019345,4.85452952019345,4.002205757057641,0.0,0.0,0.0,0.19399282625306755,0.04564742846380306,0.0,0.003783314837275832,0.608900193581663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016564329033637457,0.016564329033637457
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,5.765454638273496,5.765454638273496,3.697488163982726,0.0,0.0,0.0,0.24549292070084378,0.05776564398027396,0.0,0.004787687396863187,0.6932058391239077,0.0,0.0,0.0,0.0,0.0,0.0,1.0667143830888821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01967253206713794,0.01967253206713794
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,6.352495053173954,6.352495053173954,4.160338258934229,0.0,0.0,0.0,0.260890025445848,0.06138865546462852,0.0,0.005087967030692913,0.5459692754677034,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021675595504697744,0.021675595504697744
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,6.549463325628422,6.549463325628422,4.407540992238487,0.0,0.0,0.0,0.26817670215491834,0.06310324491744797,0.0,0.005230074306721228,0.48659144117999514,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022347678609878435,0.022347678609878435
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,8.052440455308822,8.052440455308822,4.436278632737626,0.0,0.0,0.0,0.26088516230411124,0.061387511144403765,0.0,0.005087872188029687,1.9699804061038007,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02747604534500668,0.02747604534500668
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,6.6948508256828,6.6948508256828,4.552653193115846,0.0,0.0,0.0,0.25078293154605735,0.0590104085228278,0.0,0.004890855008298148,0.5086925666589183,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022843760954884496,0.022843760954884496
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,6.662209258681558,6.662209258681558,4.112858271084365,0.0,0.0,0.0,0.24349139169525016,0.05729467474978358,0.0,0.0047486528896066044,1.911454856613304,0.0,0.0,0.0,0.0,0.0,0.0,0.33236141164924976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02273238339425107,0.02273238339425107
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,5.978750906508371,5.978750906508371,4.15095792826971,0.0,0.0,0.0,0.24134574915124463,0.05678979492289443,0.0,0.004706807830544282,0.895134893553035,0.0,0.0,0.0,0.0,0.0,0.0,0.6298157327809429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020400328561935785,0.020400328561935785
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,5.150408334027637,5.150408334027637,4.31268030951052,0.0,0.0,0.0,0.2428540844489608,0.05714471334401228,0.0,0.004736223904435553,0.5329930028197091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017573908645017906,0.017573908645017906
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,6.063212829523011,6.063212829523011,4.356444494512926,0.0,0.0,0.0,0.25474389799447794,0.05994244264024376,0.0,0.004968103138673406,0.5179171122575622,0.0,0.0,0.0,0.0,0.0,0.0,0.8691967789791263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020688524375311435,0.020688524375311435
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,5.7905582366232204,5.7905582366232204,4.290125409861342,0.0,0.0,0.0,0.29444718381283913,0.06928481335660892,0.0,0.005742410277893374,0.7014054249805424,0.0,0.0,0.0,0.0,0.0,0.0,0.42955299433399474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019758189031682784,0.019758189031682784
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,5.7573582103137255,5.7573582103137255,4.28685463228302,0.0,0.0,0.0,0.38278970071923496,0.09007222492582022,0.0,0.007465296435231233,0.9901763559504204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019644905930317695,0.019644905930317695
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,5.905283616283391,5.905283616283391,4.235573545701132,0.0,0.0,0.0,0.49655552320679525,0.11684186040116555,0.0,0.009683996644436877,1.0466286903298612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020149647962830516,0.020149647962830516
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,5.985623294381922,5.985623294381922,4.3122334638223005,0.0,0.0,0.0,0.5537636432282861,0.13030320130056067,0.0,0.010799689082504754,0.9785232969482712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020423778103958498,0.020423778103958498
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,7.086970770508323,7.086970770508323,5.457901935813572,0.0,0.0,0.0,0.5009080842905228,0.11786603858621143,0.0,0.00976888178811087,1.0005258300299056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02418172867342932,0.02418172867342932
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,6.486785836041027,6.486785836041027,4.3909172677474135,0.0,0.0,0.0,0.3876598880488143,0.09121820301184633,0.0,0.007560276504031681,0.935370501504703,0.0,0.0,0.0,0.0,0.0,0.0,0.6740596992242179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022133814309288784,0.022133814309288784
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,5.7475654388856166,5.7475654388856166,4.5393976209120845,0.0,0.0,0.0,0.3333242000825174,0.0784327589447679,0.0,0.00650060322411198,0.7899102557221344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019611491633955577,0.019611491633955577
2018/01/02 00:00:00,2018/01/02 00:00:00,2018/01/02 05:00:00,5.665317091633746,5.665317091633746,4.825813202523523,0.0,0.0,0.0,0.13637652992750898,0.032090041751784745,0.0,0.002659662004500424,0.6683776554264275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01933084884855573,0.01933084884855573
2018/01/02 01:00:00,2018/01/02 01:00:00,2018/01/02 06:00:00,5.745184048262599,5.745184048262599,5.121194202372932,0.0,0.0,0.0,0.06771676742517381,0.015934075277650797,0.0,0.0013206356950426956,0.539018367491801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019603365998366547,0.019603365998366547
2018/01/02 02:00:00,2018/01/02 02:00:00,2018/01/02 07:00:00,5.829114987999694,5.829114987999694,5.2762909752108,0.0,0.0,0.0,0.0406300604551044,0.009560445166590506,0.0,0.0007923814170256198,0.5018411257501736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01988975002304382,0.01988975002304382
2018/01/02 03:00:00,2018/01/02 03:00:00,2018/01/02 08:00:00,5.908495518391044,5.908495518391044,5.379765848293129,0.0,0.0,0.0,0.02708670697006958,0.006373630111060333,0.0,0.0005282542780170794,0.4947410787387687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020160607418966008,0.020160607418966008
2018/01/02 04:00:00,2018/01/02 04:00:00,2018/01/02 09:00:00,8.004708947113178,8.004708947113178,7.451600499513516,0.0,0.0,0.0,0.02708670697006958,0.006373630111060333,0.0,0.0005282542780170794,0.5191198562405143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027313178808973555,0.027313178808973555
2018/01/02 05:00:00,2018/01/02 05:00:00,2018/01/02 10:00:00,6.2608841310550805,6.2608841310550805,5.4059529810260205,0.0,0.0,0.0,0.030114322719614582,0.007086042399765026,0.0,0.0005872998819606039,0.4579397746921315,0.0,0.0,0.0,0.0,0.0,0.0,0.35920371033558773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021363006313358045,0.021363006313358045
2018/01/02 06:00:00,2018/01/02 06:00:00,2018/01/02 11:00:00,7.211475742028497,7.211475742028497,5.294452598187306,0.0,0.0,0.0,0.0826301686787682,0.01944326904540063,0.0,0.001611481976973595,0.49451735330919544,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024606556930422106,0.024606556930422106
2018/01/02 07:00:00,2018/01/02 07:00:00,2018/01/02 12:00:00,7.477517579824897,7.477517579824897,5.306372945858235,0.0,0.0,0.0,0.19399282625306755,0.04564742846380306,0.0,0.003783314837275832,0.608900193581663,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025514328635103712,0.025514328635103712
2018/01/02 08:00:00,2018/01/02 08:00:00,2018/01/02 13:00:00,7.708198638117064,7.708198638117064,5.388125676084323,0.0,0.0,0.0,0.24549292070084378,0.05776564398027396,0.0,0.004787687396863187,0.6932058391239077,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026301444448383778,0.026301444448383778
2018/01/02 09:00:00,2018/01/02 09:00:00,2018/01/02 14:00:00,7.133119694642141,7.133119694642141,4.9409629004024165,0.0,0.0,0.0,0.260890025445848,0.06138865546462852,0.0,0.005087967030692913,0.5459692754677034,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433919521281715,0.02433919521281715
2018/01/02 10:00:00,2018/01/02 10:00:00,2018/01/02 15:00:00,6.49832075493044,6.49832075493044,4.42530520972443,0.0,0.0,0.0,0.26817670215491834,0.06310324491744797,0.0,0.005230074306721228,0.4176846529960702,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022173173054779106,0.022173173054779106
