Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,7.966022015364331,7.966022015364331,7.485835022253736,0.0,0.0,0.0,0.047863275929801996,0.010622716851767269,0.0,0.0007579980024801303,0.4209430023265448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027181173624099487,0.027181173624099487
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,7.702826181341953,7.702826181341953,7.274921360623043,0.0,0.0,0.0,0.028717965557881274,0.006373630111060379,0.0,0.0004547988014880795,0.3923584262484789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026283112879614493,0.026283112879614493
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,8.070197180171261,8.070197180171261,7.659738423341523,0.0,0.0,0.0,0.01914531037192084,0.004249086740706917,0.0,0.00030319920099205274,0.38676116051611764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027536633756707073,0.027536633756707073
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,7.899235459271529,7.899235459271529,7.499037909113753,0.0,0.0,0.0,0.01914531037192084,0.004249086740706917,0.0,0.00030319920099205274,0.3764999538441553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026953288617830008,0.026953288617830008
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,7.813589689256154,7.813589689256154,7.434830173391708,0.0,0.0,0.0,0.021285276787033795,0.004724028266510047,0.0,0.00033708928136200487,0.35241312152954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666105335404746,0.02666105335404746
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,7.982058705769559,7.982058705769559,7.523872123220356,0.0,0.0,0.0,0.058404302419901195,0.012962179363600505,0.0,0.0009249334424049668,0.38589516732329626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027235893039313216,0.027235893039313216
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,8.758664137198217,8.758664137198217,8.084474869941397,0.0,0.0,0.0,0.13711717975334048,0.030431618975868904,0.0,0.002171488397726374,0.5044689801298847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029885778644495743,0.029885778644495743
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,8.627705671544499,8.627705671544499,7.456046202578168,0.0,0.0,0.0,0.17351825624726097,0.0385104293201829,0.0,0.0027479625887321365,0.5437991734984254,0.0,0.0,0.0,0.0,0.0,0.0,0.41308364731172903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029438930169106915,0.029438930169106915
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,8.928242093812605,8.928242093812605,7.602159222590817,0.0,0.0,0.0,0.1844011719703798,0.04092577030975261,0.0,0.002920312437734997,0.42554308500200294,0.0,0.0,0.0,0.0,0.0,0.0,0.6722925315019181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03046440218742163,0.03046440218742163
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,8.475008879712723,8.475008879712723,7.457362570301253,0.0,0.0,0.0,0.18955150963708653,0.042068829944965594,0.0,0.003001876968946517,0.3277630491107331,0.0,0.0,0.0,0.0,0.0,0.0,0.4552610437497363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028917907505270773,0.028917907505270773
