Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,2.8667702984025807,2.8667702984025807,2.5330542414504484,0.0,0.0,0.0,0.021391953935972798,0.0035409056172557804,0.0,0.0013206356950427084,0.30746256170386077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009781818462339288,0.009781818462339288
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,2.8140274985075138,2.8140274985075138,2.5110178760479713,0.0,0.0,0.0,0.012835172361583715,0.0021245433703534736,0.0,0.0007923814170256272,0.28725752531057985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009601852702942202,0.009601852702942202
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,2.917649242113279,2.917649242113279,2.6247361937962306,0.0,0.0,0.0,0.008556781574389136,0.0014163622469023154,0.0,0.0005282542780170844,0.28241165021774034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009955424485539318,0.009955424485539318
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,2.869323594601337,2.869323594601337,2.5838785730613223,0.0,0.0,0.0,0.008556781574389136,0.0014163622469023154,0.0,0.0005282542780170844,0.27494362344070644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009790530663631012,0.009790530663631012
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,2.839574356092024,2.839574356092024,2.56941422440628,0.0,0.0,0.0,0.009513215543592685,0.0015746760888366929,0.0,0.0005872998819606097,0.25848494017135426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00968902212956636,0.00968902212956636
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,2.8911434609363535,2.8911434609363535,2.576522513002472,0.0,0.0,0.0,0.026103147408078366,0.004320726454533531,0.0,0.0016114819769736102,0.2825855920942966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009864983078420077,0.009864983078420077
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,5.003214843467088,5.003214843467088,3.458055179405,0.0,0.0,0.0,0.06128298442037073,0.01014387299195637,0.0,0.0037833148372758674,0.37184995497502454,0.0,0.0,0.0,0.0,0.0,0.0,1.0980995368374598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01707166400954654,0.01707166400954654
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,4.276721895149954,4.276721895149954,2.461974380891591,0.0,0.0,0.0,0.07755203697581692,0.012836809773394384,0.0,0.004787687396863232,0.4007501092814367,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014592769157535667,0.014592769157535667
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,4.332944963920955,4.332944963920955,2.593924523184631,0.0,0.0,0.0,0.08241603400308839,0.0136419234365843,0.0,0.005087967030692961,0.3190536454351052,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014784610077758676,0.014784610077758676
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,4.40510444039256,4.40510444039256,3.146434230897215,0.0,0.0,0.0,0.08471791961331038,0.01402294331498863,0.0,0.005230074306721277,0.25149766129503254,0.0,0.0,0.0,0.0,0.0,0.0,0.9032016109652933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015030828234677633,0.015030828234677633
