Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,2.9159699802816434,2.9159699802816434,2.4050410521962973,0.0,0.0,0.0,0.06501908921459039,0.013297274945155983,0.0,0.0024797125139104695,0.43013285141168944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00994969461091457,0.00994969461091457
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,2.790156898133944,2.790156898133944,2.3405572287536796,0.0,0.0,0.0,0.03901145352875434,0.00797836496709361,0.0,0.0014878275083462856,0.4011220233760702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00952040289875963,0.00952040289875963
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,2.883226069654456,2.883226069654456,2.4568856626203277,0.0,0.0,0.0,0.026007635685836212,0.005318909978062404,0.0,0.0009918850055641898,0.3940219763646653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009837967839613541,0.009837967839613541
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,2.8187448929409973,2.8187448929409973,2.4028077765646825,0.0,0.0,0.0,0.026007635685836212,0.005318909978062404,0.0,0.0009918850055641898,0.383618685706852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009617949108011455,0.009617949108011455
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,2.7688911879016422,2.7688911879016422,2.372351983030496,0.0,0.0,0.0,0.02891463827931774,0.005913430959804041,0.0,0.0011027529182972512,0.3606083827137272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009447841341567202,0.009447841341567202
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,2.8469562298256874,2.8469562298256874,2.351845880215523,0.0,0.0,0.0,0.0793383753156568,0.016225760819139942,0.0,0.0030258246382727193,0.39652038883709484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009714210108113103,0.009714210108113103
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,2.8865613935277463,2.8865613935277463,2.1632511172933837,0.0,0.0,0.0,0.18626460412594562,0.038093607331822404,0.0,0.007103800981051574,0.491848263795543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009849348427957089,0.009849348427957089
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,3.3936076196792797,3.3936076196792797,2.1972054167112534,0.0,0.0,0.0,0.2357130548240661,0.048206478066980994,0.0,0.008989677013318395,0.5652653577297764,0.0,0.0,0.0,0.0,0.0,0.0,0.3382276353338842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01157946058203942,0.01157946058203942
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,3.2247888746292084,3.2247888746292084,2.2682972434525444,0.0,0.0,0.0,0.250496774796642,0.05122994689070952,0.0,0.00955350182017094,0.45341658679960845,0.0,0.0,0.0,0.0,0.0,0.0,0.19179482086953267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011003427574428066,0.011003427574428066
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,3.522088353007735,3.522088353007735,2.2353285344716327,0.0,0.0,0.0,0.25749316728611565,0.05266080290054545,0.0,0.009820331796074135,0.3550754812500061,0.0,0.0,0.0,0.0,0.0,0.0,0.6117100353033608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012017854690568965,0.012017854690568965
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,3.414181111470618,3.414181111470618,2.2425692663010754,0.0,0.0,0.0,0.25049210539113925,0.0512289919347181,0.0,0.0095533237373433,0.3512786778850098,0.0,0.0,0.0,0.0,0.0,0.0,0.509058746221332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011649660193759773,0.011649660193759773
