Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,4.084093532607542,4.084093532607542,3.6035858500605427,0.0,0.0,0.0,0.04016694086881613,0.0066486374725780156,0.0,0.0014232669458539553,0.36020661722105063,0.0,0.0,0.0,0.0,0.0,0.0,0.07206222003870044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013935494427803221,0.013935494427803221
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.260536392784217,4.260536392784217,3.5236442107176424,0.0,0.0,0.0,0.024100164521289744,0.00398918248354682,0.0,0.0008539601675123757,0.3363087633878131,0.0,0.0,0.0,0.0,0.0,0.0,0.3716401115064125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014537541975242185,0.014537541975242185
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,3.9975332659190053,3.9975332659190053,3.648277620788176,0.0,0.0,0.0,0.016066776347526488,0.002659454989031212,0.0,0.0005693067783415834,0.32996010701593004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01364013877434513,0.01364013877434513
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,3.9119461202895556,3.9119461202895556,3.5713894410824127,0.0,0.0,0.0,0.016066776347526488,0.002659454989031212,0.0,0.0005693067783415834,0.32126114109224385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013348103545110485,0.013348103545110485
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,3.903476333137392,3.903476333137392,3.5794116152445437,0.0,0.0,0.0,0.017862639726856408,0.002956715479902032,0.0,0.0006329410241114477,0.30261242166197866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013319203454864927,0.013319203454864927
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,4.017700031193341,4.017700031193341,3.626427847616515,0.0,0.0,0.0,0.04901298785367805,0.00811288040957,0.0,0.0017367159166417595,0.3324095993969358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013708950578693766,0.013708950578693766
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,3.9872184658796943,3.9872184658796943,3.436724655495783,0.0,0.0,0.0,0.11506896559543632,0.019046803665911268,0.0,0.004077329557171663,0.4123007115653917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013604943243850032,0.013604943243850032
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,4.6704040254198755,4.6704040254198755,3.654532329129812,0.0,0.0,0.0,0.14561680960922585,0.02410323903349059,0.0,0.00515975544551417,0.4746426262724929,0.0,0.0,0.0,0.0,0.0,0.0,0.3663492659293401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01593606726980967,0.01593606726980967
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,4.803588522520927,4.803588522520927,3.962265851019733,0.0,0.0,0.0,0.15474977060779888,0.02561497344535485,0.0,0.0054833708671987716,0.43657830341120857,0.0,0.0,0.0,0.0,0.0,0.0,0.21889625316963304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016390511273700174,0.016390511273700174
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,6.256253418440399,6.256253418440399,4.052019442599908,0.0,0.0,0.0,0.15907194255475157,0.02633040145027282,0.0,0.005636521800113626,1.5658900353797105,0.0,0.0,0.0,0.0,0.0,0.0,0.4473050746556407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02134720567869495,0.02134720567869495
