Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,11.073621946639234,11.073621946639234,10.625312596175927,0.0,0.0,0.0,0.06501908921459065,0.013297274945156102,0.0,0.0014232669458539553,0.36856971935770666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037844600271452575,0.037844600271452575
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,10.31327561742346,10.31327561742346,9.922180129998056,0.0,0.0,0.0,0.039011453528754486,0.007978364967093685,0.0,0.0008539601675123757,0.343251708762044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03525019298146526,0.03525019298146526
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,10.411775829052527,10.411775829052527,10.038445929350548,0.0,0.0,0.0,0.02600763568583631,0.005318909978062454,0.0,0.0005693067783415834,0.34143404725973747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556063337459049,0.03556063337459049
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,10.28158329529958,10.28158329529958,9.917425747108764,0.0,0.0,0.0,0.02600763568583631,0.005318909978062454,0.0,0.0005693067783415834,0.3322616957485763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0003421616693191454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03511639836523766,0.03511639836523766
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,10.291458392511819,10.291458392511819,9.948335557562274,0.0,0.0,0.0,0.028914638279317853,0.0059134309598040955,0.0,0.0006329410241114477,0.3076618246863097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0005987829213085041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03517574957957966,0.03517574957957966
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,10.91881578091392,10.91881578091392,10.087111541566422,0.0,0.0,0.0,0.0793383753156571,0.016225760819140088,0.0,0.0017367159166417595,0.3328378326909234,0.0,0.0,0.0,0.0,0.0,0.0,0.40156555460513593,0.0,0.0009409445906276482,0.0,0.0,0.0009409445906276482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735058814551791,0.03735058814551791
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,10.555945544796598,10.555945544796598,9.932612002534642,0.0,0.0,0.0,0.1862646041259464,0.03809360733182275,0.0,0.004077329557171663,0.3948980012470145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00213851043324466,0.0,0.0,0.00213851043324466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03623215254715906,0.03623215254715906
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,10.901815046717378,10.901815046717378,10.179277937671063,0.0,0.0,0.0,0.23571305482406701,0.04820647806698144,0.0,0.00515975544551417,0.4334578207097496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003592697527851022,0.0,0.0,0.003592697527851022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755769139232656,0.03755769139232656
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,11.247864877568325,11.247864877568325,10.34685411223045,0.0,0.0,0.0,0.25049677479664306,0.051229946890709976,0.0,0.0054833708671987716,0.33056807800726207,0.0,0.0,0.0,0.0,0.0,0.0,0.26323259477606353,0.0,0.00393485919717017,0.0,0.0,0.00393485919717017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03877266949731935,0.03877266949731935
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,11.572943238579674,11.572943238579674,9.968379367557516,0.0,0.0,0.0,0.2574931672861167,0.05266080290054592,0.0,0.005636521800113626,0.2422457127314347,0.0,0.0,0.0,0.0,0.0,0.0,1.0465276663039473,0.0,0.00410594003182974,0.0,0.0,0.00410594003182974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03989898602689788,0.03989898602689788
