Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,10.556990793968378,10.556990793968378,10.10128563391413,0.0,0.0,0.0,0.06501908921459076,0.013297274945156102,0.0,0.0,0.37738879589450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602191899111272,0.03602191899111272
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,9.809230422330343,9.809230422330343,9.410169818535657,0.0,0.0,0.0,0.039011453528754556,0.007978364967093685,0.0,0.0,0.3520707852988382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033470456736613155,0.033470456736613155
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,9.901185694666163,9.901185694666163,9.523385629435786,0.0,0.0,0.0,0.026007635685836358,0.005318909978062454,0.0,0.0,0.3464735195664769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033784220898724494,0.033784220898724494
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,9.782284847077069,9.782284847077069,9.413657133357855,0.0,0.0,0.0,0.026007635685836358,0.005318909978062454,0.0,0.0,0.3373011680553157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03337851469101651,0.03337851469101651
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,10.16295473761002,10.16295473761002,9.410066564820546,0.0,0.0,0.0,0.028914638279317905,0.0059134309598040955,0.0,0.0,0.31648090122310374,0.0,0.0,0.0,0.0,0.0,0.0,0.40157920232724825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034677413233863426,0.034677413233863426
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,9.985288966674588,9.985288966674588,9.543028449005336,0.0,0.0,0.0,0.07933837531565724,0.016225760819140088,0.0,0.0,0.34669638153445675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03407119294504909,0.03407119294504909
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,10.60274030054733,10.60274030054733,9.093526777924579,0.0,0.0,0.0,0.1862646041259467,0.03809360733182275,0.0,0.0,0.426394703164136,0.0,0.0,0.0,0.0,0.0,0.0,0.8584606080008461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03617802266232288,0.03617802266232288
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,11.731521043951126,11.731521043951126,9.642408360298713,0.0,0.0,0.0,0.2357130548240674,0.04820647806698144,0.0,0.0,0.4863722799305135,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040029579350318735,0.040029579350318735
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,11.497021613036356,11.497021613036356,9.84219024990559,0.0,0.0,0.0,0.25049677479664345,0.051229946890709976,0.0,0.0,0.3885220095347655,0.0,0.0,0.0,0.0,0.0,0.0,0.964582631908649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039229434719265335,0.039229434719265335
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,10.945391222078973,10.945391222078973,9.601008648823152,0.0,0.0,0.0,0.2574931672861171,0.05266080290054592,0.0,0.0,0.30271938041230784,0.0,0.0,0.0,0.0,0.0,0.0,0.731509222656849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734719520197262,0.03734719520197262
