Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,9.000030008863698,9.000030008863698,8.554559759043203,0.0,0.0,0.0,0.03462761493288742,0.007081811234511524,0.0,0.0,0.4037608236530952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03070935252516264,0.03070935252516264
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,8.466069945957935,8.466069945957935,8.06444788592004,0.0,0.0,0.0,0.0207765689597325,0.0042490867407069255,0.0,0.0,0.3765964043374543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028887406621650995,0.028887406621650995
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,8.747302308059291,8.747302308059291,8.36037078962676,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.37024774796557125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02984701050527684,0.02984701050527684
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,8.992050490358615,8.992050490358615,8.212196748270674,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.36045992688108397,0.0,0.0,0.0,0.0,0.0,0.0,0.40271004473989774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030682125299640914,0.030682125299640914
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,8.568192582308157,8.568192582308157,8.211099341996755,0.0,0.0,0.0,0.015399246165313244,0.003149352177673369,0.0,0.0,0.3385446419684155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02923586324206108,0.02923586324206108
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,8.789051051336745,8.789051051336745,8.366547488327912,0.0,0.0,0.0,0.0422537249139898,0.008641452909067019,0.0,0.0,0.3716083851857759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299894630163826,0.0299894630163826
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,9.266747529041817,9.266747529041817,8.107471273926077,0.0,0.0,0.0,0.09920008208685564,0.020287745983912635,0.0,0.0,0.45912148347983955,0.0,0.0,0.0,0.0,0.0,0.0,0.5806669435651325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03161942975198526,0.03161942975198526
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,10.20174563510916,10.20174563510916,8.205897179289835,0.0,0.0,0.0,0.12553514661153897,0.025673619546788633,0.0,0.0,0.5258188188301451,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034809773164318686,0.034809773164318686
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,10.463294871681857,10.463294871681857,8.562812252823914,0.0,0.0,0.0,0.13340860298673415,0.02728384687316846,0.0,0.0,0.42096929816718714,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570221548958735,0.03570221548958735
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,10.63255690080578,10.63255690080578,8.819657997888593,0.0,0.0,0.0,0.13713471462519852,0.0280458866299771,0.0,0.0,0.32889743083115713,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03627976104403236,0.03627976104403236
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,12.42138266649148,12.42138266649148,10.484764246393658,0.0,0.0,0.0,0.1334061161728204,0.02728333828640189,0.0,0.0,0.4571080948077472,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04238348303056292,0.04238348303056292
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,13.839921891095639,13.839921891095639,9.065297305657625,0.0,0.0,0.0,0.1282402441155104,0.026226848232368115,0.0,0.0,3.3013366222592837,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047223735904857504,0.047223735904857504
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,19.96487693773543,19.96487693773543,8.459274045212096,0.0,0.0,0.0,0.1245116456631323,0.025464299888792907,0.0,0.0,10.036806076140556,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06812293330117632,0.06812293330117632
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,11.024749614715189,11.024749614715189,8.759197405244523,0.0,0.0,0.0,0.12341445088224523,0.025239908854619953,0.0,0.0,0.7980769789029472,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037617977060799286,0.037617977060799286
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,11.405625398350244,11.405625398350244,9.415387177698314,0.0,0.0,0.0,0.12418575252384692,0.025397650375116772,0.0,0.0,0.5218339469221136,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03891757813950982,0.03891757813950982
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,12.72288541413434,12.72288541413434,8.885817299717623,0.0,0.0,0.0,0.13026572209021672,0.026641085617886327,0.0,0.0,2.3613404358777617,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04341225228528219,0.04341225228528219
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,10.995586737941318,10.995586737941318,8.947208153566205,0.0,0.0,0.0,0.15056837599949777,0.030793250380715325,0.0,0.0,0.5481960871640473,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03751846927442361,0.03751846927442361
2018/01/01 18:00:00,2018/01/01 18:00:00,2018/01/01 23:00:00,10.558719751351857,10.558719751351857,9.14249847976646,0.0,0.0,0.0,0.19574316466638192,0.04003209996703154,0.0,0.0,0.7757136277818996,0.0,0.0,0.0,0.0,0.0,0.0,0.40473237917008503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602781843386323,0.03602781843386323
2018/01/01 19:00:00,2018/01/01 19:00:00,2018/01/02 00:00:00,11.071028315794496,11.071028315794496,9.293917894306391,0.0,0.0,0.0,0.2539184031400065,0.051929715733851786,0.0,0.0,0.8070551844427913,0.0,0.0,0.0,0.0,0.0,0.0,0.6642071181714556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037775886417151586,0.037775886417151586
2018/01/01 20:00:00,2018/01/01 20:00:00,2018/01/02 01:00:00,10.619985390198963,10.619985390198963,9.539024751989526,0.0,0.0,0.0,0.28317232098727463,0.05791253391136077,0.0,0.0,0.7398757833108005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03623686530361613,0.03623686530361613
2018/01/01 21:00:00,2018/01/01 21:00:00,2018/01/02 02:00:00,11.307986470421872,11.307986470421872,9.459831462498338,0.0,0.0,0.0,0.25614412676666565,0.05238490603831662,0.0,0.0,0.7297866711127595,0.0,0.0,0.0,0.0,0.0,0.0,0.8098393040057918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03858442055503751,0.03858442055503751
2018/01/01 22:00:00,2018/01/01 22:00:00,2018/01/02 03:00:00,10.399222453674673,10.399222453674673,9.466634012466544,0.0,0.0,0.0,0.1982335814111866,0.040541423560820924,0.0,0.0,0.6938134362361208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03548359149946906,0.03548359149946906
2018/01/01 23:00:00,2018/01/01 23:00:00,2018/01/02 04:00:00,10.332302376102776,10.332302376102776,9.538010865099942,0.0,0.0,0.0,0.1704485090937653,0.03485900397545268,0.0,0.0,0.5889839979336143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03525525089936632,0.03525525089936632
2018/01/02 00:00:00,2018/01/02 00:00:00,2018/01/02 05:00:00,10.421770357795266,10.421770357795266,9.839028494975139,0.0,0.0,0.0,0.06973743939315123,0.014262240778571115,0.0,0.0,0.49874218264840386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556052808030945,0.03556052808030945
2018/01/02 01:00:00,2018/01/02 01:00:00,2018/01/02 06:00:00,10.706884724042105,10.706884724042105,10.261414474221608,0.0,0.0,0.0,0.03462761493288742,0.007081811234511524,0.0,0.0,0.4037608236530952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036533377901303316,0.036533377901303316
2018/01/02 02:00:00,2018/01/02 02:00:00,2018/01/02 07:00:00,10.899824640709129,10.899824640709129,10.498202580671235,0.0,0.0,0.0,0.0207765689597325,0.0042490867407069255,0.0,0.0,0.3765964043374543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037191715696984866,0.037191715696984866
2018/01/02 03:00:00,2018/01/02 03:00:00,2018/01/02 08:00:00,11.439368662194992,11.439368662194992,10.648624351298677,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.37024774796557125,0.0,0.0,0.0,0.0,0.0,0.0,0.40381279246378404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03903271484280274,0.03903271484280274
2018/01/02 04:00:00,2018/01/02 04:00:00,2018/01/02 09:00:00,11.195401913775338,11.195401913775338,10.818258216427296,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0,0.36045992688108397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03820026640937994,0.03820026640937994
2018/01/02 05:00:00,2018/01/02 05:00:00,2018/01/02 10:00:00,11.283681973421393,11.283681973421393,10.926588733109993,0.0,0.0,0.0,0.015399246165313244,0.003149352177673369,0.0,0.0,0.3385446419684155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385014902352942,0.0385014902352942
2018/01/02 06:00:00,2018/01/02 06:00:00,2018/01/02 11:00:00,11.401268244698382,11.401268244698382,10.978764681689551,0.0,0.0,0.0,0.0422537249139898,0.008641452909067019,0.0,0.0,0.3716083851857759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03890271092602614,0.03890271092602614
2018/01/02 07:00:00,2018/01/02 07:00:00,2018/01/02 12:00:00,11.488943931774859,11.488943931774859,10.910334620224251,0.0,0.0,0.0,0.09920008208685564,0.020287745983912635,0.0,0.0,0.45912148347983955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03920187254878358,0.03920187254878358
2018/01/02 08:00:00,2018/01/02 08:00:00,2018/01/02 13:00:00,12.285275306352753,12.285275306352753,10.8676276059505,0.0,0.0,0.0,0.12553514661153897,0.025673619546788633,0.0,0.0,0.5258188188301451,0.0,0.0,0.0,0.0,0.0,0.0,0.7406201154137818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191906581199221,0.04191906581199221
