Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,4.081545044943531,4.081545044943531,3.7227775959278464,0.0,0.0,0.0,0.021391953935972745,0.003540905617255768,0.0,0.0,0.3338345894624556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01392679863389997,0.01392679863389997
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,4.660249078785943,4.660249078785943,4.314754115674028,0.0,0.0,0.0,0.012835172361583684,0.0021245433703534666,0.0,0.0,0.33053524737997725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015901417181337908,0.015901417181337908
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,4.297698016002186,4.297698016002186,3.977788572957903,0.0,0.0,0.0,0.008556781574389117,0.00141636224690231,0.0,0.0,0.3099362992229913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014664342595538336,0.014664342595538336
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,4.221401025492051,4.221401025492051,3.9133254994042854,0.0,0.0,0.0,0.008556781574389117,0.00141636224690231,0.0,0.0,0.298102382266475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014404006666005085,0.014404006666005085
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,4.180518903195146,4.180518903195146,3.8888823306460503,0.0,0.0,0.0,0.009513215543592662,0.0015746760888366875,0.0,0.0,0.2805486809166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01426451118606157,0.01426451118606157
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,4.257825006942679,4.257825006942679,3.919903537334451,0.0,0.0,0.0,0.026103147408078314,0.004320726454533516,0.0,0.0,0.30749759574561614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014528290350130101,0.014528290350130101
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,4.664031799056677,4.664031799056677,3.713183235842481,0.0,0.0,0.0,0.061282984420370605,0.010143872991956335,0.0,0.0,0.37957393124968736,0.0,0.0,0.0,0.0,0.0,0.0,0.49984777455218177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015914324348334424,0.015914324348334424
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,4.390500362995481,4.390500362995481,3.7835641407512064,0.0,0.0,0.0,0.07755203697581672,0.012836809773394338,0.0,0.0,0.43519608737286036,0.0,0.0,0.0,0.0,0.0,0.0,0.08135128812220303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014980997094042547,0.014980997094042547
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,4.581958087652208,4.581958087652208,3.8432985426675095,0.0,0.0,0.0,0.08241603400308818,0.01364192343658425,0.0,0.0,0.351500934067527,0.0,0.0,0.0,0.0,0.0,0.0,0.29110065347749936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01563427744470343,0.01563427744470343
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,4.3485154883782196,4.3485154883782196,3.6726517173441513,0.0,0.0,0.0,0.08471791961331018,0.014022943314988575,0.0,0.0,0.27767571171388183,0.0,0.0,0.0,0.0,0.0,0.0,0.2994471963918878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014837738870005912,0.014837738870005912
