Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,9.932770655600354,9.932770655600354,9.372102317455147,0.0,0.0,0.0,0.08987123756036489,0.019945912417734097,0.0,0.0035361580819670076,0.4473150300851404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033891993172690954,0.033891993172690954
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,9.616311139304884,9.616311139304884,9.131415109181747,0.0,0.0,0.0,0.05392274253621908,0.01196754745064049,0.0,0.0021216948491802104,0.41688404528709605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03281218934578271,0.03281218934578271
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,9.911605346120746,9.911605346120746,9.455728633981508,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0014144632327868058,0.410535388915213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03381977419681272,0.03381977419681272
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,9.838554249925933,9.838554249925933,9.393554214031981,0.0,0.0,0.0,0.03594849502414603,0.007978364967093657,0.0,0.0014144632327868058,0.3996587126699247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03357051370954915,0.03357051370954915
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,9.76704610190459,9.76704610190459,9.342159891545768,0.0,0.0,0.0,0.03996663683177917,0.008870146439706118,0.0,0.0015725648124830655,0.37447686227485283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033326517975774246,0.033326517975774246
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,9.89604777820409,9.89604777820409,9.346923269863225,0.0,0.0,0.0,0.10966376277763588,0.02433864122871006,0.0,0.004314933359903709,0.4108071709746166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376668961408175,0.03376668961408175
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,11.434692487318419,11.434692487318419,9.261740594821013,0.0,0.0,0.0,0.25746024265645573,0.05714041099773394,0.0,0.010130272404931556,0.5371957604455896,0.0,0.0,0.0,0.0,0.0,0.0,1.311025205992693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390167590845872,0.0390167590845872
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,11.527197220813608,11.527197220813608,9.214192021864196,0.0,0.0,0.0,0.3258093000389073,0.07230971710047196,0.0,0.012819598581122707,0.5832457123980584,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03933239808449635,0.03933239808449635
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,11.470134133032722,11.470134133032722,9.256610556472749,0.0,0.0,0.0,0.34624377898548625,0.07684492033606474,0.0,0.013623632773143202,0.45799037363442563,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391376909027301,0.0391376909027301
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,11.168860492376298,11.168860492376298,9.04718878385553,0.0,0.0,0.0,0.3559143920174809,0.07899120435081865,0.0,0.014004141792034743,0.3539410995295831,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381097033928723,0.0381097033928723
2018/01/01 11:00:00,2018/01/01 11:00:00,2018/01/01 16:00:00,11.265712821864126,11.265712821864126,9.158067296479217,0.0,0.0,0.0,0.34623732480016495,0.07684348790207761,0.0,0.01362337882070852,0.35212046303110556,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03844017699420426,0.03844017699420426
2018/01/01 12:00:00,2018/01/01 12:00:00,2018/01/01 17:00:00,10.757903906518637,10.757903906518637,9.866167823370883,0.0,0.0,0.0,0.33283001055779643,0.0738678849962458,0.0,0.013095842048070017,0.40089811308978446,0.0,0.0,0.0,0.0,0.0,0.0,0.07104423245585645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036707462438652014,0.036707462438652014
2018/01/01 13:00:00,2018/01/01 13:00:00,2018/01/01 18:00:00,10.26238120741619,10.26238120741619,9.363633389108395,0.0,0.0,0.0,0.32315294334048056,0.07172016854750479,0.0,0.012715079076743794,0.3855657397919972,0.0,0.0,0.0,0.0,0.0,0.0,0.10559388755106923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035016670159518454,0.035016670159518454
2018/01/01 14:00:00,2018/01/01 14:00:00,2018/01/01 19:00:00,10.99836386344524,10.99836386344524,9.030343660784572,0.0,0.0,0.0,0.32030532438104,0.07108817148252691,0.0,0.012603033987890705,0.40042696994506827,0.0,0.0,0.0,0.0,0.0,0.0,1.1635967028641427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03752794521239521,0.03752794521239521
2018/01/01 15:00:00,2018/01/01 15:00:00,2018/01/01 20:00:00,11.57315694967021,11.57315694967021,9.39880943836492,0.0,0.0,0.0,0.32230713227908425,0.07153245027622551,0.0,0.012681799000695384,0.4490052589184345,0.0,0.0,0.0,0.0,0.0,0.0,1.3188208708308526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039489219063318454,0.039489219063318454
2018/01/01 16:00:00,2018/01/01 16:00:00,2018/01/01 21:00:00,10.96921563276979,10.96921563276979,9.529992293781214,0.0,0.0,0.0,0.3380868615592562,0.0750345840705494,0.0,0.01330268304257644,0.4349366421463544,0.0,0.0,0.0,0.0,0.0,0.0,0.5778625681698392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03742848740054174,0.03742848740054174
2018/01/01 17:00:00,2018/01/01 17:00:00,2018/01/01 22:00:00,10.517647832598144,10.517647832598144,9.434101638979634,0.0,0.0,0.0,0.3907796224127894,0.08672915089263461,0.0,0.015375981877793004,0.5906614384352914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03588767534204571,0.03588767534204571
