Time,TimeDST,TimeUTC,total_site_electricity_kwh,net_site_electricity_kwh,electricity_heating_kwh,electricity_central_system_heating_kwh,electricity_cooling_kwh,electricity_central_system_cooling_kwh,electricity_interior_lighting_kwh,electricity_exterior_lighting_kwh,electricity_exterior_holiday_lighting_kwh,electricity_garage_lighting_kwh,electricity_interior_equipment_kwh,electricity_fans_heating_kwh,electricity_fans_cooling_kwh,electricity_pumps_heating_kwh,electricity_central_system_pumps_heating_kwh,electricity_pumps_cooling_kwh,electricity_central_system_pumps_cooling_kwh,electricity_water_systems_kwh,electricity_pv_kwh,total_site_natural_gas_therm,natural_gas_heating_therm,natural_gas_central_system_heating_therm,natural_gas_interior_equipment_therm,natural_gas_water_systems_therm,total_site_fuel_oil_mbtu,fuel_oil_heating_mbtu,fuel_oil_central_system_heating_mbtu,fuel_oil_interior_equipment_mbtu,fuel_oil_water_systems_mbtu,total_site_propane_mbtu,propane_heating_mbtu,propane_central_system_heating_mbtu,propane_interior_equipment_mbtu,propane_water_systems_mbtu,total_site_wood_mbtu,wood_heating_mbtu,total_site_energy_mbtu,net_site_energy_mbtu
2018/01/01 01:00:00,2018/01/01 01:00:00,2018/01/01 06:00:00,7.742225836269741,7.742225836269741,6.045848857350957,0.0,0.0,0.0,0.03462761493288742,0.007081811234511524,0.0,0.0013206356950426956,1.653346917056342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026467376398790515,0.026467376398790515
2018/01/01 02:00:00,2018/01/01 02:00:00,2018/01/01 07:00:00,6.3797888746126565,6.3797888746126565,6.0337704298989,0.0,0.0,0.0,0.0207765689597325,0.0042490867407069255,0.0,0.0007923814170256198,0.32020040759629054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02181855223846737,0.02181855223846737
2018/01/01 03:00:00,2018/01/01 03:00:00,2018/01/01 08:00:00,6.6339079332113995,6.6339079332113995,6.298193622249859,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0005282542780170794,0.3185022862165642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002847902756232076,0.0,0.0,0.0002847902756232076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022664287582776492,0.022664287582776492
2018/01/01 04:00:00,2018/01/01 04:00:00,2018/01/01 09:00:00,6.870326221918961,6.870326221918961,6.221060730278877,0.0,0.0,0.0,0.013851045973154992,0.0028327244938046157,0.0,0.0005282542780170794,0.3099454042787291,0.0,0.0,0.0,0.0,0.0,0.0,0.32210806261637864,0.0,0.0002847902756232076,0.0,0.0,0.0002847902756232076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02347097962315479,0.02347097962315479
2018/01/01 05:00:00,2018/01/01 05:00:00,2018/01/01 10:00:00,6.476607106207183,6.476607106207183,6.170398806168374,0.0,0.0,0.0,0.015399246165313244,0.003149352177673369,0.0,0.0005872998819606039,0.28707240181386057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0004983829823406131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02214890949305107,0.02214890949305107
2018/01/01 06:00:00,2018/01/01 06:00:00,2018/01/01 11:00:00,6.5347424601021675,6.5347424601021675,6.171993186033748,0.0,0.0,0.0,0.0422537249139898,0.008641452909067019,0.0,0.001611481976973595,0.31024261426838873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078317325796382,0.0,0.0,0.00078317325796382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022375747637920464,0.022375747637920464
2018/01/01 07:00:00,2018/01/01 07:00:00,2018/01/01 12:00:00,6.53331499746782,6.53331499746782,5.9441988499495,0.0,0.0,0.0,0.09920008208685564,0.020287745983912635,0.0,0.003783314837275832,0.36743664190582226,0.0,0.0,0.0,0.0,0.0,0.0,0.09840836270445205,0.0,0.0017799392226450492,0.0,0.0,0.0017799392226450492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247052978476407,0.02247052978476407
2018/01/01 08:00:00,2018/01/01 08:00:00,2018/01/01 13:00:00,7.248273126689618,7.248273126689618,5.999605489187412,0.0,0.0,0.0,0.12553514661153897,0.025673619546788633,0.0,0.004787687396863187,0.40285718904729767,0.0,0.0,0.0,0.0,0.0,0.0,0.6898139948997163,0.0,0.002990297894043677,0.0,0.0,0.002990297894043677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025031073261062617,0.025031073261062617
2018/01/01 09:00:00,2018/01/01 09:00:00,2018/01/01 14:00:00,6.950438640730685,6.950438640730685,6.020149243589023,0.0,0.0,0.0,0.13340860298673415,0.02728384687316846,0.0,0.005087967030692913,0.30780916396794256,0.0,0.0,0.0,0.0,0.0,0.0,0.45669981628312456,0.0,0.003275088169666887,0.0,0.0,0.003275088169666887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240432928669234,0.0240432928669234
2018/01/01 10:00:00,2018/01/01 10:00:00,2018/01/01 15:00:00,6.453323080718458,6.453323080718458,6.056735134572912,0.0,0.0,0.0,0.13713471462519852,0.0280458866299771,0.0,0.005230074306721228,0.22617727058364892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034174833074784874,0.0,0.0,0.0034174833074784874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022361301646202047,0.022361301646202047
