station,valid,tmpc
DTW,1/1/2018 0:53,-16.72
DTW,1/1/2018 1:53,-16.72
DTW,1/1/2018 2:53,-16.72
DTW,1/1/2018 3:53,-15.61
DTW,1/1/2018 4:53,-15
DTW,1/1/2018 5:53,-16.72
DTW,1/1/2018 6:53,-14.39
DTW,1/1/2018 7:53,-15
DTW,1/1/2018 8:53,-13.28
DTW,1/1/2018 9:53,-13.28
DTW,1/1/2018 10:53,-12.22
DTW,1/1/2018 11:53,-12.22
DTW,1/1/2018 12:53,-11.11
DTW,1/1/2018 13:53,-11.11
DTW,1/1/2018 14:53,-11.11
DTW,1/1/2018 15:53,-10.61
DTW,1/1/2018 16:53,-11.72
DTW,1/1/2018 17:53,-12.22
DTW,1/1/2018 18:53,-11.72
DTW,1/1/2018 19:53,-11.72
DTW,1/1/2018 20:53,-11.72
DTW,1/1/2018 21:53,-11.72
DTW,1/1/2018 22:53,-11.72
DTW,1/1/2018 23:53,-11.11
DTW,1/2/2018 0:53,-11.11
DTW,1/2/2018 1:53,-13.28
DTW,1/2/2018 2:53,-12.78
DTW,1/2/2018 3:53,-12.78
DTW,1/2/2018 4:53,-13.28
DTW,1/2/2018 5:53,-13.89
DTW,1/2/2018 7:53,-15
DTW,1/2/2018 8:53,-13.89
DTW,1/2/2018 9:53,-13.28
DTW,1/2/2018 10:53,-12.22
DTW,1/2/2018 11:53,-13.89
DTW,1/2/2018 12:53,-12.78
DTW,1/2/2018 13:53,-12.78
DTW,1/2/2018 14:53,-12.22
DTW,1/2/2018 15:53,-13.89
DTW,1/2/2018 16:53,-14.39
DTW,1/2/2018 17:53,-15
DTW,1/2/2018 18:53,-15.61
DTW,1/2/2018 19:53,-16.11
DTW,1/2/2018 20:53,-16.11
DTW,1/2/2018 21:53,-16.72
DTW,1/2/2018 22:53,-17.22
DTW,1/2/2018 23:53,-17.22
DTW,1/3/2018 0:53,-16.11
DTW,1/3/2018 1:53,-15
DTW,1/3/2018 2:53,-15.61
DTW,1/3/2018 3:53,-16.11
DTW,1/3/2018 4:53,-16.72
DTW,1/3/2018 5:53,-16.11
DTW,1/3/2018 6:53,-15.61
DTW,1/3/2018 7:53,-13.89
DTW,1/3/2018 8:53,-12.78
DTW,1/3/2018 9:53,-12.22
